,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
16599,120422379.0,Monday,No,2012-07-09T06:00:00.000,SearchWarr,"[-71.060674, 42.360562]",Point,SearchWarr,7,MISC  ,72,A1,Last,No,CENTRE PZ,Part Three,Unarmed,774903.4055,,2956723.5960000004,2012
20538,120421827.0,Monday,No,2012-07-09T06:00:00.000,SearchWarr,"[-71.090956, 42.333723]",Point,SearchWarr,7,IVDRUG,289,B2,Last,No,SCHROEDER PLAZA,Part Three,Other,766765.8102,,2946902.542,2012
39344,120422378.0,Monday,No,2012-07-09T06:00:00.000,SearchWarr,"[-71.060674, 42.360562]",Point,SearchWarr,7,MISC  ,72,A1,Last,No,CENTRE ST,Part Three,Unarmed,774903.4055,,2956723.5960000004,2012
48696,120422380.0,Monday,No,2012-07-09T06:00:00.000,SearchWarr,"[-71.060674, 42.360562]",Point,SearchWarr,7,MISC  ,72,A1,Last,No,CENTRE PZ,Part Three,Unarmed,774903.4055,,2956723.5960000004,2012
55401,120421349.0,Monday,No,2012-07-09T06:10:00.000,SearchWarr,"[-71.087175, 42.308436]",Point,SearchWarr,7,IVPER ,319,B2,Last,No,SONOMA ST,Part Three,Unarmed,767832.9666,,2937692.45,2012
58791,120421828.0,Monday,No,2012-07-09T06:00:00.000,SearchWarr,"[-71.090956, 42.333723]",Point,SearchWarr,7,IVDRUG,289,B2,Last,No,SCHROEDER PLAZA,Part Three,Other,766765.8102,,2946902.542,2012
71649,120422376.0,Monday,No,2012-07-09T06:00:00.000,SearchWarr,"[-71.060674, 42.360562]",Point,SearchWarr,7,MISC  ,72,A1,Last,No,CENTRE PZ,Part Three,Unarmed,774903.4055,,2956723.5960000004,2012
72546,120422373.0,Monday,No,2012-07-09T06:00:00.000,SearchWarr,"[-71.060674, 42.360562]",Point,SearchWarr,7,MISC  ,72,A1,Last,No,CENTRE PZ,Part Three,Unarmed,774903.4055,,2956723.5960000004,2012
73667,120422375.0,Monday,No,2012-07-09T06:00:00.000,SearchWarr,"[-71.060674, 42.360562]",Point,SearchWarr,7,MISC  ,72,A1,Last,No,CENTRE PZ,Part Three,Unarmed,774903.4055,,2956723.5960000004,2012
114030,120422377.0,Monday,No,2012-07-09T06:00:00.000,SearchWarr,"[-71.060674, 42.360562]",Point,SearchWarr,7,MISC  ,72,A1,Last,No,CENTRE PZ,Part Three,Unarmed,774903.4055,,2956723.5960000004,2012
149678,120454011.0,Monday,No,2012-07-09T06:00:00.000,SearchWarr,"[-71.132568, 42.282931]",Point,SearchWarr,7,CD11  ,680,E5,Last,No,HAYES RD,Part Three,Unarmed,755594.4376,,2928341.829,2012
166768,120429555.0,Monday,No,2012-07-09T06:20:00.000,SearchWarr,"[-71.102546, 42.308074]",Point,SearchWarr,7,CD11  ,570,E13,Last,No,FOREST HILLS ST,Part Three,Unarmed,763675.6944,,2937540.652,2012
171606,120421038.0,Monday,No,2012-07-09T06:00:00.000,SearchWarr,"[-71.091807, 42.315029]",Point,SearchWarr,7,CD11  ,316,B2,Last,No,CRAWFORD ST,Part Three,Unarmed,766568.3992,,2940088.937,2012
228629,120422381.0,Monday,No,2012-07-09T06:00:00.000,SearchWarr,"[-71.060674, 42.360562]",Point,SearchWarr,7,MISC  ,72,A1,Last,No,CENTRE PZ,Part Three,Unarmed,774903.4055,,2956723.5960000004,2012
232643,120421826.0,Monday,No,2012-07-09T06:00:00.000,SearchWarr,"[-71.090956, 42.333723]",Point,SearchWarr,7,IVDRUG,289,B2,Last,No,SCHROEDER PLAZA,Part Three,Other,766765.8102,,2946902.542,2012
239757,120432143.0,Monday,No,2012-07-09T06:05:00.000,SearchWarr,"[-71.09157, 42.295581]",Point,SearchWarr,7,CD11  ,465,B3,Last,No,FRANKLIN HILL AV,Part Three,Unarmed,766666.5909,,2933002.164,2012
