,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
15125,120684702.0,Tuesday,No,2012-09-25T10:06:00.000,FORGERY,"[0, 0]",Point,10xx,9,IVPER ,282,B2,Day,No,GALLIVAN BL,Part Two,Unarmed,,,,2012
18214,120747176.0,Tuesday,No,2012-09-25T12:00:00.000,FORGERY,"[-71.082355, 42.322981]",Point,10xx,9,IVPER ,296,B2,Day,No,WARREN ST,Part Two,Unarmed,769110.7763,,2942999.233,2012
36993,120603894.0,Tuesday,No,2012-09-25T20:30:00.000,FORGERY,"[-71.082355, 42.322981]",Point,10xx,9,LARCRT,296,B2,First,No,WARREN ST,Part Two,Unarmed,769110.7763,,2942999.233,2012
37051,120747174.0,Tuesday,No,2012-09-25T12:35:00.000,FORGERY,"[-71.082355, 42.322981]",Point,10xx,9,IVPER ,296,B2,Day,No,WARREN ST,Part Two,Unarmed,769110.7763,,2942999.233,2012
37588,120744893.0,Tuesday,No,2012-09-25T12:17:00.000,FORGERY,"[-71.082355, 42.322981]",Point,10xx,9,IVPER ,296,B2,Day,No,WARREN ST,Part Two,Unarmed,769110.7763,,2942999.233,2012
38475,120751939.0,Tuesday,No,2012-09-25T10:06:00.000,FORGERY,"[-71.044313, 42.285011]",Point,10xx,9,LARCRT,381,C11,Day,No,GALLIVAN BL,Part Two,Unarmed,779472.1208,,2929214.769,2012
44064,120602828.0,Tuesday,No,2012-09-25T13:00:00.000,FORGERY,"[-71.05851, 42.307276]",Point,10xx,9,IVPER ,348,C11,Day,No,DORCHESTER AV,Part Two,Unarmed,775588.7588,,2937308.557,2012
60915,120747172.0,Tuesday,No,2012-09-25T12:52:00.000,FORGERY,"[-71.082355, 42.322981]",Point,10xx,9,IVPER ,296,B2,Day,No,WARREN ST,Part Two,Unarmed,769110.7763,,2942999.233,2012
65477,120744889.0,Tuesday,No,2012-09-25T10:57:00.000,FORGERY,"[-71.082355, 42.322981]",Point,10xx,9,IVPER ,296,B2,Day,No,WARREN ST,Part Two,Unarmed,769110.7763,,2942999.233,2012
123140,120652462.0,Tuesday,No,2012-09-25T12:36:00.000,FORGERY,"[-71.059755, 42.301741]",Point,10xx,9,MISC  ,351,C11,Day,No,DORCHESTER AV,Part Two,Unarmed,775262.4031,,2935289.7789999996,2012
126654,120684704.0,Tuesday,No,2012-09-25T10:19:00.000,FORGERY,"[-71.082355, 42.322981]",Point,10xx,9,IVPER ,282,B2,Day,No,WARREN ST,Part Two,Unarmed,769110.7763,,2942999.233,2012
138833,120684708.0,Tuesday,No,2012-09-25T11:53:00.000,FORGERY,"[-71.082355, 42.322981]",Point,10xx,9,IVPER ,282,B2,Day,No,WARREN ST,Part Two,Unarmed,769110.7763,,2942999.233,2012
149739,120744890.0,Tuesday,No,2012-09-25T13:35:00.000,FORGERY,"[-71.082355, 42.322981]",Point,10xx,9,IVPER ,296,B2,Day,No,WARREN ST,Part Two,Unarmed,769110.7763,,2942999.233,2012
160902,120654432.0,Tuesday,No,2012-09-25T09:00:00.000,FORGERY,"[-71.099225, 42.314846]",Point,10xx,9,LARCRT,572,E13,Day,No,WASHINGTON ST,Part Two,Other,764562.5768,,2940012.814,2012
196524,120744887.0,Tuesday,No,2012-09-25T10:54:00.000,FORGERY,"[-71.082355, 42.322981]",Point,10xx,9,IVPER ,296,B2,Day,No,WARREN ST,Part Two,Unarmed,769110.7763,,2942999.233,2012
208202,120747173.0,Tuesday,No,2012-09-25T13:34:00.000,FORGERY,"[-71.082355, 42.322981]",Point,10xx,9,IVPER ,296,B2,Day,No,WARREN ST,Part Two,Unarmed,769110.7763,,2942999.233,2012
221388,120744891.0,Tuesday,No,2012-09-25T10:44:00.000,FORGERY,"[-71.082355, 42.322981]",Point,10xx,9,IVPER ,296,B2,Day,No,WARREN ST,Part Two,Unarmed,769110.7763,,2942999.233,2012
238679,120638947.0,Tuesday,No,2012-09-25T11:02:00.000,FORGERY,"[-71.065337, 42.316869]",Point,10xx,9,LARCRT,257,B2,Day,No,COLUMBIA RD,Part Two,Unarmed,773724.0529,,2940794.738,2012
259984,120684699.0,Tuesday,No,2012-09-25T13:15:00.000,FORGERY,"[-71.082355, 42.322981]",Point,10xx,9,IVPER ,282,B2,Day,No,WARREN ST,Part Two,Unarmed,769110.7763,,2942999.233,2012
