,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
35261,120615857.0,Sunday,No,2012-09-30T20:20:00.000,Argue,"[-71.11668, 42.262066]",Point,Argue,9,UNK   ,493,E18,First,No,METROPOLITAN AV,Part Three,Unarmed,759928.0805,,2920757.288,2012
43991,120614378.0,Sunday,No,2012-09-30T02:04:00.000,Argue,"[-71.081419, 42.321935]",Point,Argue,9,FIGHT ,296,B2,Last,No,COPELAND ST,Part Three,Unarmed,769365.6108,,2942619.2830000003,2012
53872,120615382.0,Sunday,No,2012-09-30T15:42:00.000,Argue,"[-71.07601, 42.30414]",Point,Argue,9,VIORDR,461,C11,Day,No,ROSSETER ST,Part Three,Unarmed,770860.7479,OLNEY ST,2936141.6789999995,2012
66937,120614879.0,Sunday,No,2012-09-30T09:54:00.000,Argue,"[-71.05807, 42.302941]",Point,Argue,9,THREAT,350,C11,Day,No,FENTON ST,Part Three,Unarmed,775715.9613,,2935729.434,2012
76084,120615736.0,Sunday,No,2012-09-30T19:07:00.000,Argue,"[-71.06471, 42.292631]",Point,Argue,9,NIDV  ,361,C11,First,No,NIXON ST,Part Three,Unarmed,773938.9248,,2931963.082,2012
91492,120614887.0,Sunday,No,2012-09-30T09:55:00.000,Argue,"[-71.120865, 42.258636]",Point,Argue,9,FIGHT ,519,E18,Day,No,CENTRAL AV,Part Three,Unarmed,758800.7947,,2919502.2860000003,2012
106766,120615778.0,Sunday,No,2012-09-30T20:30:00.000,Argue,"[-71.058475, 42.291707]",Point,Argue,9,IVPREM,365,C11,First,No,GLENROSE RD,Part Three,Unarmed,775627.4011,,2931634.749,2012
158947,120615781.0,Sunday,No,2012-09-30T19:31:00.000,Argue,"[-71.094443, 42.28741]",Point,Argue,9,LANTEN,466,B3,First,No,HARVARD ST,Part Three,Unarmed,765903.4557,,2930020.6010000003,2012
166144,120615650.0,Sunday,No,2012-09-30T17:45:00.000,Argue,"[-71.072415, 42.302361]",Point,Argue,9,IVPER ,462,C11,First,No,BULLARD ST,Part Three,Unarmed,771836.5022,,2935498.295,2012
176058,120620429.0,Sunday,No,2012-09-30T17:00:00.000,Argue,"[-71.12858, 42.359195]",Point,Argue,9,THREAT,816,D14,First,No,HASKELL ST,Part Three,Unarmed,756552.5528,,2956138.415,2012
