,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
29029,120776098.0,Monday,No,2012-12-10T12:00:00.000,DRUG CHARGES,"[-71.059735, 42.297541]",Point,18xx,12,IVDRUG,355,C11,Day,No,GIBSON ST,Part Two,Unarmed,775275.7115,,2933759.268,2012
73645,120773215.0,Monday,No,2012-12-10T07:30:00.000,DRUG CHARGES,"[-71.061235, 42.310371]",Point,18xx,12,IVDRUG,355,C11,Day,No,HANCOCK ST,Part Two,Unarmed,774845.858,,2938432.619,2012
100583,120773010.0,Monday,No,2012-12-10T11:00:00.000,DRUG CHARGES,"[-71.12816, 42.269736]",Point,18xx,12,ARREST,547,E18,Day,No,HALLRON ST,Part Two,Unarmed,756808.3764,,2923538.583,2012
109780,120773341.0,Monday,No,2012-12-10T14:07:00.000,DRUG CHARGES,"[-71.06287, 42.352321]",Point,18xx,12,SSTOP ,112,A1,Day,No,BOYLSTON ST,Part Two,Unarmed,774325.2748,,2953717.652,2012
119935,120773354.0,Monday,No,2012-12-10T07:35:00.000,DRUG CHARGES,"[-71.044145, 42.332866]",Point,18xx,12,IVDRUG,219,C6,Day,No,G ST,Part Two,Unarmed,779424.5802,,2946654.4,2012
129250,120773914.0,Monday,No,2012-12-10T18:00:00.000,DRUG CHARGES,"[-71.059735, 42.297541]",Point,18xx,12,IVDRUG,355,C11,First,No,GIBSON ST,Part Two,Other,775275.7115,,2933759.268,2012
130333,120775488.0,Monday,No,2012-12-10T12:00:00.000,DRUG CHARGES,"[-71.059735, 42.297541]",Point,18xx,12,IVDRUG,355,C11,Day,No,GIBSON ST,Part Two,Other,775275.7115,,2933759.268,2012
144618,120776324.0,Monday,No,2012-12-10T18:20:00.000,DRUG CHARGES,"[-71.10039, 42.322781]",Point,18xx,12,ARREST,0,E13,First,No,CENTRE ST,Part Two,Other,764233.9404,LAMARTINE ST,2942902.9839999997,2012
150164,120772435.0,Monday,No,2012-12-10T04:14:00.000,DRUG CHARGES,"[-71.063785, 42.349246]",Point,18xx,12,IVDRUG,123,A1,Last,No,WASHINGTON ST,Part Two,Unarmed,774083.6785,,2952595.797,2012
194807,120778727.0,Monday,No,2012-12-10T19:00:00.000,DRUG CHARGES,"[-71.148575, 42.287141]",Point,18xx,12,IVDRUG,691,E5,First,No,CENTRE ST,Part Two,Unarmed,751256.7891,,2929857.7989999996,2012
