,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
24377,120782772.0,Friday,No,2012-12-14T15:36:00.000,SexReg,"[-71.085618, 42.32866]",Point,SexReg,12,IVPER ,282,B2,Day,No,WASHINGTON ST,Part Two,Unarmed,768218.0809,,2945064.255,2012
52409,120782767.0,Friday,No,2012-12-14T16:30:00.000,SexReg,"[-71.085618, 42.32866]",Point,SexReg,12,IVPER ,282,B2,First,No,WASHINGTON ST,Part Two,Unarmed,768218.0809,,2945064.255,2012
73796,120782766.0,Friday,No,2012-12-14T12:00:00.000,SexReg,"[-71.084646, 42.304835]",Point,SexReg,12,IVPER ,282,B2,Day,No,BLUE HILL AV,Part Two,Unarmed,768523.3694,,2936383.492,2012
82565,120782781.0,Friday,No,2012-12-14T14:31:00.000,SexReg,"[-71.085618, 42.32866]",Point,SexReg,12,IVPER ,282,B2,Day,No,WASHINGTON ST,Part Two,Unarmed,768218.0809,,2945064.255,2012
89386,120789393.0,Friday,No,2012-12-14T12:00:00.000,SexReg,"[-71.06494, 42.343021]",Point,SexReg,12,IVPER ,165,D4,Day,No,HARRISON AV,Part Two,Unarmed,773783.0344,,2950325.6980000003,2012
93265,120782774.0,Friday,No,2012-12-14T15:00:00.000,SexReg,"[-71.085618, 42.32866]",Point,SexReg,12,IVPER ,282,B2,Day,No,WASHINGTON ST,Part Two,Unarmed,768218.0809,,2945064.255,2012
166166,120789397.0,Friday,No,2012-12-14T12:00:00.000,SexReg,"[-71.0729, 42.333256]",Point,SexReg,12,IVPER ,172,D4,Day,No,MASSACHUSETTS AV,Part Two,Unarmed,771648.9274,,2946756.2810000004,2012
185898,120782780.0,Friday,No,2012-12-14T14:00:00.000,SexReg,"[-71.085618, 42.32866]",Point,SexReg,12,IVPER ,282,B2,Day,No,WASHINGTON ST,Part Two,Unarmed,768218.0809,,2945064.255,2012
190331,120789395.0,Friday,No,2012-12-14T12:00:00.000,SexReg,"[-71.06494, 42.343021]",Point,SexReg,12,IVPER ,165,D4,Day,No,HARRISON AV,Part Two,Unarmed,773783.0344,,2950325.6980000003,2012
248384,120782768.0,Friday,No,2012-12-14T15:00:00.000,SexReg,"[-71.085618, 42.32866]",Point,SexReg,12,IVPER ,282,B2,Day,No,WASHINGTON ST,Part Two,Unarmed,768218.0809,,2945064.255,2012
