,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
75385,120804670.0,Monday,No,2012-12-24T19:20:00.000,MVAcc,"[-71.08559, 42.336381]",Point,MVAcc,12,REQEP ,285,D4,First,No,TREMONT ST,Part Three,Unarmed,768212.2151,CUNARD ST,2947878.162,2012
104826,120803460.0,Monday,No,2012-12-24T03:23:00.000,MVAcc,"[0, 0]",Point,MVAcc,12,MVANO ,566,B2,Last,No,JEWISH WAR VETERANS,Part Three,Other,,,,2012
106922,120804445.0,Monday,No,2012-12-24T16:39:00.000,MVAcc,"[-71.088175, 42.308646]",Point,MVAcc,12,MVPED1,319,B2,First,No,ELM HILL AV,Part Three,Unarmed,767562.1046,,2937767.6689999998,2012
165811,120803518.0,Monday,No,2012-12-24T04:39:00.000,MVAcc,"[-71.15477, 42.341171]",Point,MVAcc,12,MVAINJ,775,D14,Last,No,CHESTNUT HILL AV,Part Three,Unarmed,749500.8396,CHISWICK RD,2949540.441,2012
185777,120804921.0,Monday,No,2012-12-24T22:56:00.000,MVAcc,"[-71.12005, 42.298916]",Point,MVAcc,12,MVANO ,652,E13,First,No,SOUTH ST,Part Three,Unarmed,758955.9577,,2934181.588,2012
195429,120804894.0,Monday,No,2012-12-24T22:38:00.000,MVAcc,"[-71.11029, 42.350541]",Point,MVAcc,12,TRAUMA,632,D4,First,No,COMMONWEALTH AV,Part Three,Other,761510.4671,ESSEX ST,2953006.8589999997,2012
201380,120804527.0,Monday,No,2012-12-24T17:00:00.000,MVAcc,"[-71.063155, 42.298481]",Point,MVAcc,12,MVANO ,0,C11,First,No,GENEVA AV,Part Three,Unarmed,774348.7245,,2934097.058,2012
206277,120804460.0,Monday,No,2012-12-24T16:49:00.000,MVAcc,"[-71.07176, 42.292251]",Point,MVAcc,12,MVA   ,362,C11,First,No,WASHINGTON ST,Part Three,Unarmed,772032.1873,LYNDHURST ST,2931814.9489999996,2012
207191,120803425.0,Monday,No,2012-12-24T02:14:00.000,MVAcc,"[-71.131245, 42.350806]",Point,MVAcc,12,MVA   ,796,D14,Last,No,HARVARD AV,Part Three,Unarmed,755845.6789,COMMONWEALTH AV,2953078.245,2012
213868,120804858.0,Monday,No,2012-12-24T22:00:00.000,MVAcc,"[-71.11005, 42.303811]",Point,MVAcc,12,MVA   ,569,E13,First,No,BURNETT ST,Part Three,Unarmed,761653.195,WASHINGTON ST,2935977.9069999997,2012
245307,120804685.0,Monday,No,2012-12-24T19:40:00.000,MVAcc,"[-71.093706, 42.272606]",Point,MVAcc,12,MVAINJ,476,B3,First,No,BLUE HILL AV,Part Three,Unarmed,766128.34,,2924626.974,2012
