,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
29673,130064720.0,Thursday,No,2013-01-31T18:30:00.000,PROSTITUTION CHARGES,"[-71.069527, 42.351443]",Point,16xx,1,ARREST,120,A1,First,No,PARK PLAZA,Part Two,Unarmed,772527.4805,,2953388.3860000004,2013
57822,130065380.0,Thursday,No,2013-01-31T22:05:00.000,PROSTITUTION CHARGES,"[-71.07777, 42.320421]",Point,16xx,1,SEXOFF,264,B2,First,No,BLUE HILL AV,Part Two,Unarmed,770355.3083,W COTTAGE ST,2942072.43,2013
63663,130064062.0,Thursday,No,2013-01-31T15:00:00.000,PROSTITUTION CHARGES,"[-71.069527, 42.351443]",Point,16xx,1,ARREST,118,A1,Day,No,PARK PLAZA,Part Two,Unarmed,772527.4805,,2953388.3860000004,2013
79134,130064726.0,Thursday,No,2013-01-31T20:30:00.000,PROSTITUTION CHARGES,"[-71.069527, 42.351443]",Point,16xx,1,ARREST,120,A1,First,No,PARK PLAZA,Part Two,Unarmed,772527.4805,,2953388.3860000004,2013
91685,130064707.0,Thursday,No,2013-01-31T17:15:00.000,PROSTITUTION CHARGES,"[-71.069527, 42.351443]",Point,16xx,1,ARREST,120,A1,First,No,PARK PLAZA,Part Two,Unarmed,772527.4805,,2953388.3860000004,2013
101754,130064057.0,Thursday,No,2013-01-31T12:45:00.000,PROSTITUTION CHARGES,"[-71.069527, 42.351443]",Point,16xx,1,ARREST,118,A1,Day,No,PARK PLAZA,Part Two,Unarmed,772527.4805,,2953388.3860000004,2013
127046,130065243.0,Thursday,No,2013-01-31T21:28:00.000,PROSTITUTION CHARGES,"[-71.07777, 42.320421]",Point,16xx,1,SEXOFF,264,B2,First,No,BLUE HILL AV,Part Two,Unarmed,770355.3083,W COTTAGE ST,2942072.43,2013
154909,130064718.0,Thursday,No,2013-01-31T17:41:00.000,PROSTITUTION CHARGES,"[-71.069527, 42.351443]",Point,16xx,1,ARREST,120,A1,First,No,PARK PLAZA,Part Two,Unarmed,772527.4805,,2953388.3860000004,2013
164924,130064059.0,Thursday,No,2013-01-31T13:30:00.000,PROSTITUTION CHARGES,"[-71.069527, 42.351443]",Point,16xx,1,ARREST,118,A1,Day,No,PARK PLAZA,Part Two,Unarmed,772527.4805,,2953388.3860000004,2013
179521,130065217.0,Thursday,No,2013-01-31T21:21:00.000,PROSTITUTION CHARGES,"[-71.069527, 42.351443]",Point,16xx,1,ARREST,120,A1,First,No,PARK PLAZA,Part Two,Unarmed,772527.4805,,2953388.3860000004,2013
190661,130064060.0,Thursday,No,2013-01-31T14:15:00.000,PROSTITUTION CHARGES,"[-71.069527, 42.351443]",Point,16xx,1,ARREST,118,A1,Day,No,PARK PLAZA,Part Two,Unarmed,772527.4805,,2953388.3860000004,2013
235074,130064719.0,Thursday,No,2013-01-31T18:35:00.000,PROSTITUTION CHARGES,"[-71.069527, 42.351443]",Point,16xx,1,ARREST,120,A1,First,No,PARK PLAZA,Part Two,Unarmed,772527.4805,,2953388.3860000004,2013
239334,130065210.0,Thursday,No,2013-01-31T21:10:00.000,PROSTITUTION CHARGES,"[-71.07777, 42.320421]",Point,16xx,1,SEXOFF,264,B2,First,No,BLUE HILL AV,Part Two,Unarmed,770355.3083,W COTTAGE ST,2942072.43,2013
247848,130065342.0,Thursday,No,2013-01-31T22:31:00.000,PROSTITUTION CHARGES,"[-71.07777, 42.320421]",Point,16xx,1,SEXOFF,264,B2,First,No,W COTTAGE ST,Part Two,Unarmed,770355.3083,BLUE HILL AV,2942072.43,2013
255526,130064061.0,Thursday,No,2013-01-31T14:30:00.000,PROSTITUTION CHARGES,"[-71.069527, 42.351443]",Point,16xx,1,ARREST,118,A1,Day,No,PARK PLAZA,Part Two,Unarmed,772527.4805,,2953388.3860000004,2013
262948,130064722.0,Thursday,No,2013-01-31T19:13:00.000,PROSTITUTION CHARGES,"[0, 0]",Point,16xx,1,ARREST,120,A1,First,No,PARK PLAZA,Part Two,Unarmed,,,,2013
