,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
4401,130121532.0,Thursday,No,2013-02-28T08:30:00.000,Service,"[-71.06939, 42.339506]",Point,Service,2,IVPREM,167,D4,Day,No,HARRISON AV,Part Three,Unarmed,772586.4767,,2949038.664,2013
54346,130122894.0,Thursday,No,2013-02-28T20:00:00.000,Service,"[-71.063155, 42.298481]",Point,Service,2,IVPER ,356,C11,First,No,GENEVA AV,Part Three,Unarmed,774348.7245,,2934097.058,2013
57720,130121328.0,Thursday,No,2013-02-28T08:02:00.000,Service,"[-71.093803, 42.312588]",Point,Service,2,ARREST,316,B2,Day,No,SEAVER ST,Part Three,Unarmed,766032.7238,,2939196.659,2013
81406,130130085.0,Thursday,No,2013-02-28T14:00:00.000,Service,"[-71.06939, 42.339506]",Point,Service,2,LSTPRP,167,D4,Day,No,HARRISON AV,Part Three,Unarmed,772586.4767,,2949038.664,2013
111937,130122837.0,Thursday,No,2013-02-28T19:40:00.000,Service,"[-71.076118, 42.316174]",Point,Service,2,CD303 ,327,B2,First,No,BEAUFORD LA,Part Three,Firearm,770809.7795,,2940526.665,2013
118185,130121690.0,Thursday,No,2013-02-28T10:40:00.000,Service,"[-71.063675, 42.352301]",Point,Service,2,ARREST,117,A1,Day,No,BOYLSTON ST,Part Three,Unarmed,774107.7181,,2953709.249,2013
137230,130122741.0,Thursday,No,2013-02-28T18:48:00.000,Service,"[-71.086015, 42.319096]",Point,Service,2,ARREST,310,B2,First,No,HUMBOLDT AV,Part Three,Unarmed,768127.88,KING BL,2941578.648,2013
143539,130122582.0,Thursday,No,2013-02-28T17:20:00.000,Service,"[-71.07105, 42.305506]",Point,Service,2,IVPER ,337,C11,First,No,OLNEY ST,Part Three,Unarmed,772199.9933,,2936646.2339999997,2013
157279,130121583.0,Thursday,No,2013-02-28T09:47:00.000,Service,"[-71.08697, 42.297761]",Point,Service,2,SSTOP ,444,B3,Day,No,BLUE HILL AV,Part Three,Unarmed,767907.2532,ABBOT ST,2933802.5810000002,2013
214391,130146592.0,Thursday,No,2013-02-28T09:00:00.000,Service,"[-71.090956, 42.333723]",Point,Service,2,INVEST,289,B2,Day,No,TREMONT ST,Part Three,Unarmed,766765.8102,,2946902.542,2013
255125,130121504.0,Thursday,No,2013-02-28T09:15:00.000,Service,"[-71.14786, 42.354041]",Point,Service,2,ARREST,780,D14,Day,No,CUSHMAN RD,Part Three,Unarmed,751349.6065,,2954238.167,2013
257589,130121116.0,Thursday,No,2013-02-28T02:47:00.000,Service,"[-71.08605, 42.300361]",Point,Service,2,IVPER ,264,B3,Last,No,BLUE HILL AV,Part Three,Other,768151.5486,CHARLOTTE ST,2934751.268,2013
