,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
3237,130182097.0,Thursday,No,2013-03-28T13:45:00.000,LICViol,"[-71.055765, 42.359881]",Point,LICViol,3,CD35  ,93,A1,Day,No,FANEUIL HALL SQ,Part Three,Unarmed,776231.4261,,2956482.582,2013
24793,130181974.0,Thursday,No,2013-03-28T14:15:00.000,LICViol,"[-71.06115, 42.364581]",Point,LICViol,3,CD35  ,75,A1,Day,No,FRIEND ST,Part Three,Unarmed,774767.2102,,2958187.8210000005,2013
45181,130182671.0,Thursday,No,2013-03-28T18:45:00.000,LICViol,"[0, 0]",Point,LICViol,3,CD35  ,0,A7,First,No,TERMINAL RD,Part Three,Unarmed,,,,2013
84471,130182715.0,Thursday,No,2013-03-28T19:15:00.000,LICViol,"[0, 0]",Point,LICViol,3,CD35  ,0,A7,First,No,TERMINAL RD,Part Three,Unarmed,,,,2013
97191,130182027.0,Thursday,No,2013-03-28T14:30:00.000,LICViol,"[-71.05731, 42.364841]",Point,LICViol,3,CD35  ,85,A1,Day,No,ENDICOTT ST,Part Three,Unarmed,775804.4775,,2958287.932,2013
135152,130182561.0,Thursday,No,2013-03-28T18:03:00.000,LICViol,"[0, 0]",Point,LICViol,3,IVPER ,0,A7,First,No,TERMINAL RD,Part Three,Unarmed,,,,2013
149102,130182754.0,Thursday,No,2013-03-28T19:35:00.000,LICViol,"[0, 0]",Point,LICViol,3,CD35  ,0,A7,First,No,TERMINAL RD,Part Three,Unarmed,,,,2013
155124,130182835.0,Thursday,No,2013-03-28T20:25:00.000,LICViol,"[-71.070155, 42.350601]",Point,LICViol,3,CD35  ,129,D4,First,No,ARLINGTON ST,Part Three,Unarmed,772359.2779999999,,2953080.8430000003,2013
171829,130182622.0,Thursday,No,2013-03-28T18:28:00.000,LICViol,"[0, 0]",Point,LICViol,3,CD35  ,0,A7,First,No,TERMINAL RD,Part Three,Unarmed,,,,2013
173086,130181739.0,Thursday,No,2013-03-28T12:40:00.000,LICViol,"[-71.0632, 42.359416]",Point,LICViol,3,CD35  ,71,A1,Day,No,DERNE ST,Part Three,Unarmed,774222.8344,,2956302.749,2013
187751,130181805.0,Thursday,No,2013-03-28T13:05:00.000,LICViol,"[-71.060674, 42.360562]",Point,LICViol,3,CD35  ,0,A1,Day,No,CENTER PZ,Part Three,Unarmed,774903.4055,,2956723.5960000004,2013
232014,130182455.0,Thursday,No,2013-03-28T17:45:00.000,LICViol,"[0, 0]",Point,LICViol,3,CD35  ,0,A7,First,No,TERMINAL RD,Part Three,Unarmed,,,,2013
242810,130182594.0,Thursday,No,2013-03-28T18:15:00.000,LICViol,"[0, 0]",Point,LICViol,3,CD35  ,0,A7,First,No,TERMINAL RD,Part Three,Unarmed,,,,2013
