,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
44249,130537913.0,Monday,No,2013-04-29T10:05:00.000,FORGERY,"[-71.085618, 42.32866]",Point,10xx,4,IVPER ,282,B2,Day,No,WASHINGTON ST,Part Two,Unarmed,768218.0809,,2945064.255,2013
95162,130537915.0,Monday,No,2013-04-29T10:30:00.000,FORGERY,"[-71.085618, 42.32866]",Point,10xx,4,IVPER ,282,B2,Day,No,WASHINGTON ST,Part Two,Unarmed,768218.0809,,2945064.255,2013
121311,130539762.0,Monday,No,2013-04-29T11:59:00.000,FORGERY,"[-71.082985, 42.308821]",Point,10xx,4,IVPER ,282,B2,Day,No,BLUE HILL AV,Part Two,Unarmed,768965.6346,,2937838.262,2013
168719,130537916.0,Monday,No,2013-04-29T10:46:00.000,FORGERY,"[-71.085618, 42.32866]",Point,10xx,4,IVPER ,282,B2,Day,No,WASHINGTON ST,Part Two,Unarmed,768218.0809,,2945064.255,2013
172801,130537597.0,Monday,No,2013-04-29T10:44:00.000,FORGERY,"[-71.085618, 42.32866]",Point,10xx,4,IVPER ,0,B2,Day,No,WASHINGTON ST,Part Two,Unarmed,768218.0809,,2945064.255,2013
176439,130537596.0,Monday,No,2013-04-29T10:29:00.000,FORGERY,"[-71.085618, 42.32866]",Point,10xx,4,IVPER ,0,B2,Day,No,WASHINGTON ST,Part Two,Unarmed,768218.0809,,2945064.255,2013
198045,130539758.0,Monday,No,2013-04-29T11:34:00.000,FORGERY,"[-71.085618, 42.32866]",Point,10xx,4,IVPER ,282,B2,Day,No,WASHINGTON ST,Part Two,Unarmed,768218.0809,,2945064.255,2013
232536,130537598.0,Monday,No,2013-04-29T11:30:00.000,FORGERY,"[-71.085618, 42.32866]",Point,10xx,4,IVPER ,0,B2,Day,No,WASHINGTON ST,Part Two,Unarmed,768218.0809,,2945064.255,2013
232871,130539759.0,Monday,No,2013-04-29T12:00:00.000,FORGERY,"[-71.082985, 42.308821]",Point,10xx,4,IVPREM,282,B2,Day,No,BLUE HILL AV,Part Two,Unarmed,768965.6346,,2937838.262,2013
246307,130537595.0,Monday,No,2013-04-29T10:08:00.000,FORGERY,"[-71.065829, 42.316441]",Point,10xx,4,IVPER ,0,B2,Day,No,COLUMBIA RD,Part Two,Unarmed,773591.8648,,2940638.1739999996,2013
