,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
12575,130418331.0,Sunday,No,2013-07-07T16:05:00.000,MedAssist,"[-71.06939, 42.339506]",Point,MedAssist,7,MEET  ,167,D4,First,No,HARRISON AV,Part three,Unarmed,772586.4767,,2949038.664,2013
33340,130417388.0,Sunday,No,2013-07-07T01:40:00.000,MedAssist,"[-71.084605, 42.285364]",Point,MedAssist,7,UNCONS,432,B3,Last,No,MASCOMA ST,Part three,Unarmed,768569.032,,2929287.8910000003,2013
38609,130418988.0,Sunday,No,2013-07-07T21:30:00.000,MedAssist,"[-71.073129, 42.321047]",Point,MedAssist,7,UNCONS,261,B2,First,No,W COTTAGE ST,Part three,Unarmed,771609.25,,2942306.6210000003,2013
48920,130418751.0,Sunday,No,2013-07-07T19:32:00.000,MedAssist,"[-71.112343, 42.313839]",Point,MedAssist,7,CARST ,639,E13,First,No,ST JOHN ST,Part three,Unarmed,761016.3063,,2939629.3430000003,2013
67505,130419095.0,Sunday,No,2013-07-07T22:10:00.000,MedAssist,"[-71.03434, 42.334776]",Point,MedAssist,7,UNCONS,226,C6,First,No,E 4TH ST,Part three,Unarmed,782071.9089,,2947364.7589999996,2013
74862,130418317.0,Sunday,No,2013-07-07T15:56:00.000,MedAssist,"[-71.10842, 42.319723]",Point,MedAssist,7,EDP2  ,636,E13,Day,No,PAUL GORE ST,Part three,Unarmed,762067.4118,,2941778.545,2013
75614,130418296.0,Sunday,No,2013-07-07T15:40:00.000,MedAssist,"[-71.063106, 42.355355]",Point,MedAssist,7,IVPER ,72,A1,Day,No,TREMONT ST,Part three,Unarmed,774255.6857,,2954822.79,2013
87038,130417716.0,Sunday,No,2013-07-07T06:00:00.000,MedAssist,"[-71.085618, 42.32866]",Point,MedAssist,7,INJOFF,282,B2,Last,No,WASHINGTON ST,Part three,Unarmed,768218.0809,,2945064.255,2013
111467,130418628.0,Sunday,No,2013-07-07T18:23:00.000,MedAssist,"[-71.09666, 42.333711]",Point,MedAssist,7,FIREB ,901,B2,First,No,HORADAN WY,Part three,Unarmed,765223.8077,,2946890.818,2013
138724,130418650.0,Sunday,No,2013-07-07T18:43:00.000,MedAssist,"[-71.14243, 42.349389]",Point,MedAssist,7,ABIP  ,784,D14,First,No,WARREN ST,Part three,Unarmed,752824.3316,,2952548.8430000003,2013
176699,130418596.0,Sunday,No,2013-07-07T18:11:00.000,MedAssist,"[-71.15088, 42.355141]",Point,MedAssist,7,UNK   ,939,D14,First,No,FANEUIL ST,Part three,Unarmed,750531.6695,,2954635.6739999996,2013
179176,130417837.0,Sunday,No,2013-07-07T07:17:00.000,MedAssist,"[-71.130787, 42.357518]",Point,MedAssist,7,INJOFF,816,D14,Last,No,MANSFIELD ST,Part three,Unarmed,755958.6573,,2955524.797,2013
180790,130419090.0,Sunday,No,2013-07-07T22:15:00.000,MedAssist,"[-71.06881, 42.379656]",Point,MedAssist,7,UNCONS,931,A15,First,No,MEAD ST,Part three,Unarmed,772669.3191,,2963670.9039999996,2013
191499,130418643.0,Sunday,No,2013-07-07T18:40:00.000,MedAssist,"[-71.120977, 42.267011]",Point,MedAssist,7,NIDV  ,496,E18,First,No,HYDE PARK AV,Part three,Knife,758756.7157,,2922553.869,2013
204075,130418135.0,Sunday,No,2013-07-07T14:00:00.000,MedAssist,"[-71.105925, 42.302926]",Point,MedAssist,7,IVPER ,574,E13,Day,No,BROOKLEY RD,Part three,Unarmed,762770.5436,,2935660.5289999996,2013
248002,130418732.0,Sunday,No,2013-07-07T19:21:00.000,MedAssist,"[-71.08209, 42.336671]",Point,MedAssist,7,UNK   ,903,D4,First,No,LATTIMORE CT,Part three,Unarmed,769157.9964,,2947988.46,2013
249134,130418926.0,Sunday,No,2013-07-07T21:03:00.000,MedAssist,"[-71.057665, 42.378641]",Point,MedAssist,7,OVRDOS,900,A15,First,No,MCNULTY CT,Part three,Other,775682.4594,,2963316.435,2013
