,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
12984,130437210.0,Monday,No,2013-07-15T09:30:00.000,PropLost,"[-71.059732, 42.354044]",Point,PropLost,7,LARCRT,113,A1,Day,No,CHAUNCY ST,Part three,Unarmed,775170.2002,,2954349.82,2013
16057,130440003.0,Monday,No,2013-07-15T19:00:00.000,PropLost,"[-71.080945, 42.311606]",Point,PropLost,7,LSTPRP,321,B2,First,No,BLUE HILL AV,Part three,Unarmed,769512.4455,,2938855.865,2013
43748,130438362.0,Monday,No,2013-07-15T18:20:00.000,PropLost,"[-71.063873, 42.325436]",Point,PropLost,7,LSTPRP,186,C6,First,No,ALLSTATE RD,Part three,Unarmed,774104.1328,,2943918.604,2013
45775,130435715.0,Monday,No,2013-07-15T18:16:00.000,PropLost,"[-71.064905, 42.352371]",Point,PropLost,7,MISC  ,119,A1,First,No,BOYLSTON ST,Part three,Unarmed,773775.1158,,2953733.06,2013
85351,130440476.0,Monday,No,2013-07-15T17:30:00.000,PropLost,"[-71.055815, 42.360236]",Point,PropLost,7,LSTPRP,94,A1,First,No,N MARKET ST,Part three,Unarmed,776217.2392,,2956611.88,2013
138756,130450349.0,Monday,No,2013-07-15T00:01:00.000,PropLost,"[-71.054711, 42.341305]",Point,PropLost,7,LSTPRP,200,C6,Last,No,W BROADWAY,Part three,Unarmed,776551.5679,,2949714.607,2013
164368,130437204.0,Monday,No,2013-07-15T00:00:00.000,PropLost,"[-71.061235, 42.310371]",Point,PropLost,7,LSTPRP,257,C11,Last,No,HANCOCK ST,Part three,Unarmed,774845.858,,2938432.619,2013
180994,130625890.0,Monday,No,2013-07-15T07:00:00.000,PropLost,"[-71.1032, 42.261326]",Point,PropLost,7,LSTPRP,484,E18,Last,No,HOPEWELL RD,Part three,Unarmed,763578.2142,,2920504.309,2013
194133,130438773.0,Monday,No,2013-07-15T21:00:00.000,PropLost,"[-71.063873, 42.325436]",Point,PropLost,7,LARCRT,186,C6,First,No,ALLSTATE RD,Part three,Other,774104.1328,,2943918.604,2013
259579,130438846.0,Monday,No,2013-07-15T16:30:00.000,PropLost,"[-71.11659, 42.320981]",Point,PropLost,7,LSTPRP,634,E13,First,No,PERKINS ST,Part three,Unarmed,759855.9297,JAMAICAWAY,2942226.9239999996,2013
259945,130436652.0,Monday,No,2013-07-15T04:00:00.000,PropLost,"[-71.161202, 42.349826]",Point,PropLost,7,DISTRB,760,D14,Last,No,BEECHCROFT ST,Part three,Unarmed,747749.3092,,2952687.559,2013
