,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
26396,130498082.0,Friday,No,2013-08-09T09:40:00.000,PropFound,"[-71.12395, 42.256421]",Point,PropFound,8,FDPROP,520,E18,Day,No,HYDE PARK AV,Part three,Unarmed,757969.2324,,2918691.415,2013
48011,130497655.0,Friday,No,2013-08-09T02:05:00.000,PropFound,"[-71.0649, 42.351031]",Point,PropFound,8,FDPROP,118,A1,Last,No,STUART ST,Part three,Unarmed,773778.9577,TREMONT ST,2953244.745,2013
80599,130497933.0,Friday,No,2013-08-09T08:12:00.000,PropFound,"[-71.06521, 42.343276]",Point,PropFound,8,FDPROP,164,D4,Day,No,FAY ST,Part three,Other,773709.5687,,2950418.253,2013
103621,130498137.0,Friday,No,2013-08-09T09:50:00.000,PropFound,"[-71.12395, 42.256421]",Point,PropFound,8,FDPROP,520,E18,Day,No,HYDE PARK AV,Part three,Unarmed,757969.2324,,2918691.415,2013
114785,130498134.0,Friday,No,2013-08-09T09:45:00.000,PropFound,"[-71.12395, 42.256421]",Point,PropFound,8,FDPROP,520,E18,Day,No,HYDE PARK AV,Part three,Unarmed,757969.2324,,2918691.415,2013
117542,130497968.0,Friday,No,2013-08-09T08:30:00.000,PropFound,"[-71.12395, 42.256421]",Point,PropFound,8,FDPROP,520,E18,Day,No,HYDE PARK AV,Part three,Unarmed,757969.2324,,2918691.415,2013
132715,130498140.0,Friday,No,2013-08-09T10:10:00.000,PropFound,"[-71.12395, 42.256421]",Point,PropFound,8,FDPROP,520,E18,Day,No,HYDE PARK AV,Part three,Unarmed,757969.2324,,2918691.415,2013
185482,130497969.0,Friday,No,2013-08-09T08:35:00.000,PropFound,"[-71.12395, 42.256421]",Point,PropFound,8,FDPROP,520,E18,Day,No,HYDE PARK AV,Part three,Unarmed,757969.2324,,2918691.415,2013
186381,130498079.0,Friday,No,2013-08-09T09:25:00.000,PropFound,"[-71.12395, 42.256421]",Point,PropFound,8,FDPROP,520,E18,Day,No,HYDE PARK AV,Part three,Unarmed,757969.2324,,2918691.415,2013
229734,130499393.0,Friday,No,2013-08-09T19:30:00.000,PropFound,"[-71.104273, 42.309722]",Point,PropFound,8,FDPROP,574,E13,First,No,WASHINGTON ST,Part three,Unarmed,763205.8082,,2938139.2,2013
243721,130498080.0,Friday,No,2013-08-09T09:30:00.000,PropFound,"[-71.12395, 42.256421]",Point,PropFound,8,FDPROP,520,E18,Day,No,HYDE PARK AV,Part three,Unarmed,757969.2324,,2918691.415,2013
252397,130497910.0,Friday,No,2013-08-09T08:15:00.000,PropFound,"[-71.12395, 42.256421]",Point,PropFound,8,FDPROP,520,E18,Day,No,HYDE PARK AV,Part three,Unarmed,757969.2324,,2918691.415,2013
257343,130497971.0,Friday,No,2013-08-09T09:20:00.000,PropFound,"[-71.12395, 42.256421]",Point,PropFound,8,FDPROP,520,E18,Day,No,HYDE PARK AV,Part three,Unarmed,757969.2324,,2918691.415,2013
257570,130498139.0,Friday,No,2013-08-09T10:00:00.000,PropFound,"[-71.12395, 42.256421]",Point,PropFound,8,FDPROP,520,E18,Day,No,HYDE PARK AV,Part three,Unarmed,757969.2324,,2918691.415,2013
257643,130497909.0,Friday,No,2013-08-09T07:45:00.000,PropFound,"[-71.12395, 42.256421]",Point,PropFound,8,FDPROP,520,E18,Day,No,HYDE PARK AV,Part three,Unarmed,757969.2324,,2918691.415,2013
260735,130499047.0,Friday,No,2013-08-09T17:00:00.000,PropFound,"[0, 0]",Point,PropFound,8,FDPROP,573,E13,First,No,UNION AV,Part three,Unarmed,,BROOKSIDE AV,,2013
260853,130498288.0,Friday,No,2013-08-09T10:45:00.000,PropFound,"[0, 0]",Point,PropFound,8,FDPROP,70,A1,Day,No,PINCKNEY ST,Part three,Unarmed,,,,2013
