,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
22341,130688922.0,Tuesday,No,2013-10-29T11:00:00.000,DRUG CHARGES,"[-71.06744, 42.314591]",Point,18xx,10,SSTOP ,0,B2,Day,No,COLUMBIA RD,Part Two,Other,773159.7181,BIRD ST,2939961.881,2013
23344,130689479.0,Tuesday,No,2013-10-29T07:30:00.000,DRUG CHARGES,"[-71.085618, 42.32866]",Point,18xx,10,IVDRUG,282,B2,Day,No,WASHINGTON ST,Part Two,Unarmed,768218.0809,,2945064.255,2013
24644,130689775.0,Tuesday,No,2013-10-29T17:55:00.000,DRUG CHARGES,"[-71.08924, 42.291211]",Point,18xx,10,IVPER ,440,B3,First,No,BLUE HILL AV,Part Two,Unarmed,767304.6314,WESTVIEW ST,2931412.6980000003,2013
50007,130689824.0,Tuesday,No,2013-10-29T16:00:00.000,DRUG CHARGES,"[-71.076588, 42.32008]",Point,18xx,10,ARREST,264,B2,First,No,GAYLAND ST,Part Two,Other,770675.5012,,2941949.577,2013
57832,130689613.0,Tuesday,No,2013-10-29T16:51:00.000,DRUG CHARGES,"[-71.06521, 42.349691]",Point,18xx,10,CD11  ,121,A1,First,No,TREMONT ST,Part Two,Other,773697.6517,,2952755.997,2013
96675,130688625.0,Tuesday,No,2013-10-29T08:43:00.000,DRUG CHARGES,"[-71.072995, 42.304498]",Point,18xx,10,IVDRUG,334,C11,Day,No,GENEVA AV,Part Two,Unarmed,771675.6285,,2936276.22,2013
113391,130689596.0,Tuesday,No,2013-10-29T16:44:00.000,DRUG CHARGES,"[-71.029285, 42.337831]",Point,18xx,10,ARREST,223,C6,First,No,O ST,Part Two,Unarmed,783432.5216,,2948485.5530000003,2013
122049,130689190.0,Tuesday,No,2013-10-29T09:00:00.000,DRUG CHARGES,"[-71.054711, 42.341305]",Point,18xx,10,IVDRUG,200,C6,Day,No,W BROADWAY,Part Two,Unarmed,776551.5679,,2949714.607,2013
135051,130689829.0,Tuesday,No,2013-10-29T07:30:00.000,DRUG CHARGES,"[-71.085618, 42.32866]",Point,18xx,10,IVDRUG,282,B2,Day,No,WASHINGTON ST,Part Two,Unarmed,768218.0809,,2945064.255,2013
139877,130689910.0,Tuesday,No,2013-10-29T12:30:00.000,DRUG CHARGES,"[-71.078526, 42.322336]",Point,18xx,10,IVDRUG,282,B2,Day,No,PERRIN ST,Part Two,Other,770147.4212,,2942769.0110000004,2013
150297,130689488.0,Tuesday,No,2013-10-29T16:07:00.000,DRUG CHARGES,"[-71.08409, 42.319041]",Point,18xx,10,CD11  ,309,B2,First,No,CHARLAME PL,Part Two,Unarmed,768648.584,,2941561.1380000003,2013
182448,130689047.0,Tuesday,No,2013-10-29T07:00:00.000,DRUG CHARGES,"[-71.085618, 42.32866]",Point,18xx,10,IVDRUG,282,B2,Last,No,WASHINGTON ST,Part Two,Unarmed,768218.0809,,2945064.255,2013
188734,130689873.0,Tuesday,No,2013-10-29T18:25:00.000,DRUG CHARGES,"[-71.063675, 42.352301]",Point,18xx,10,ARREST,117,A1,First,No,BOYLSTON ST,Part Two,Other,774107.7181,,2953709.249,2013
210791,130690180.0,Tuesday,No,2013-10-29T21:39:00.000,DRUG CHARGES,"[-71.08575, 42.301251]",Point,18xx,10,ARREST,458,B3,First,No,BLUE HILL AV,Part Two,Unarmed,768231.1309999999,MCLELLAN ST,2935075.992,2013
232965,130689413.0,Tuesday,No,2013-10-29T15:10:00.000,DRUG CHARGES,"[-71.07315, 42.314201]",Point,18xx,10,IVDRUG,323,B2,Day,No,CUNNINGHAM ST,Part Two,Other,771616.0809,HARTFORD ST,2939811.979,2013
