,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
8382,130735125.0,Friday,No,2013-11-15T06:00:00.000,SearchWarr,"[-71.0775, 42.271566]",Point,SearchWarr,11,IVDRUG,409,B3,Last,No,RIVER ST,Part three,Other,770516.5134,,2924269.305,2013
33989,130725373.0,Friday,No,2013-11-15T06:10:00.000,SearchWarr,"[-71.06724, 42.361136]",Point,SearchWarr,11,CD11  ,67,A1,Last,No,CAMBRIDGE ST,Part three,Unarmed,773127.7532,,2956923.985,2013
56421,130732079.0,Friday,No,2013-11-15T13:00:00.000,SearchWarr,"[0, 0]",Point,SearchWarr,11,CD11  ,289,B2,Day,No,FRONTAGE RD,Part three,Unarmed,,,,2013
71689,130725230.0,Friday,No,2013-11-15T06:15:00.000,SearchWarr,"[-71.098143, 42.281454]",Point,SearchWarr,11,CD11  ,477,B3,Last,No,WALK HILL ST,Part three,Unarmed,764912.4773,,2927845.4910000004,2013
92291,130735147.0,Friday,No,2013-11-15T08:45:00.000,SearchWarr,"[-71.059735, 42.297541]",Point,SearchWarr,11,CD11  ,355,C11,Day,No,GIBSON ST,Part three,Unarmed,775275.7115,,2933759.268,2013
110041,130725241.0,Friday,No,2013-11-15T06:09:00.000,SearchWarr,"[-71.082595, 42.321726]",Point,SearchWarr,11,CD11  ,265,B2,Last,No,KENSINGTON PARK,Part three,Unarmed,769048.1118,,2942541.5719999997,2013
112207,130735054.0,Friday,No,2013-11-15T06:05:00.000,SearchWarr,"[-71.090956, 42.333723]",Point,SearchWarr,11,CD11  ,289,B2,Last,No,SCHROEDER PLAZA,Part three,Unarmed,766765.8102,,2946902.542,2013
138474,130735067.0,Friday,No,2013-11-15T06:00:00.000,SearchWarr,"[-71.084071, 42.320051]",Point,SearchWarr,11,CD11  ,309,B2,Last,No,CATAWBA ST,Part three,Unarmed,768651.8865,,2941929.1969999997,2013
164531,130725212.0,Friday,No,2013-11-15T06:05:00.000,SearchWarr,"[-71.057645, 42.312891]",Point,SearchWarr,11,ARREST,247,C11,Last,No,SAVIN HILL AV,Part three,Unarmed,775812.1251,,2939355.962,2013
167533,130725219.0,Friday,No,2013-11-15T06:01:00.000,SearchWarr,"[-71.083785, 42.286216]",Point,SearchWarr,11,ARREST,432,B3,Last,No,JONES AV,Part three,Unarmed,768789.4394,,2929599.604,2013
168038,130725192.0,Friday,No,2013-11-15T06:00:00.000,SearchWarr,"[-71.083785, 42.286216]",Point,SearchWarr,11,CD11  ,432,B3,Last,No,JONES AV,Part three,Unarmed,768789.4394,,2929599.604,2013
179708,130725200.0,Friday,No,2013-11-15T06:12:00.000,SearchWarr,"[-71.095205, 42.316071]",Point,SearchWarr,11,CD11  ,307,E13,Last,No,WESTMINSTER AV,Part three,Unarmed,765647.7216,,2940464.3589999997,2013
184068,130725764.0,Friday,No,2013-11-15T06:02:00.000,SearchWarr,"[-71.090956, 42.333723]",Point,SearchWarr,11,CD11  ,289,B2,Last,No,SCHROEDER PLAZA,Part three,Unarmed,766765.8102,,2946902.542,2013
188488,130732032.0,Friday,No,2013-11-15T13:00:00.000,SearchWarr,"[0, 0]",Point,SearchWarr,11,CD11  ,289,B2,Day,No,FRONTAGE RD,Part three,Unarmed,,,,2013
201716,130725250.0,Friday,No,2013-11-15T06:05:00.000,SearchWarr,"[-71.090755, 42.269537]",Point,SearchWarr,11,CD11  ,426,B3,Last,No,RIVER ST,Part three,Unarmed,766932.4073,,2923512.3660000004,2013
202737,130725524.0,Friday,No,2013-11-15T00:30:00.000,SearchWarr,"[-71.085618, 42.32866]",Point,SearchWarr,11,IVDRUG,282,B2,Last,No,WASHINGTON ST,Part three,Unarmed,768218.0809,,2945064.255,2013
212792,130735068.0,Friday,No,2013-11-15T06:00:00.000,SearchWarr,"[-71.084071, 42.320051]",Point,SearchWarr,11,CD11  ,309,B2,Last,No,CATAWBA ST,Part three,Unarmed,768651.8865,,2941929.1969999997,2013
215478,130725211.0,Friday,No,2013-11-15T06:01:00.000,SearchWarr,"[-71.083785, 42.286216]",Point,SearchWarr,11,CD11  ,432,B3,Last,No,JONES AV,Part three,Unarmed,768789.4394,,2929599.604,2013
237279,130725400.0,Friday,No,2013-11-15T13:00:00.000,SearchWarr,"[0, 0]",Point,SearchWarr,11,CD11  ,431,B3,Day,No,FRONTAGE RD,Part three,Unarmed,,,,2013
257270,130725264.0,Friday,No,2013-11-15T06:00:00.000,SearchWarr,"[-71.084071, 42.320051]",Point,SearchWarr,11,CD11  ,309,B2,Last,No,CATAWBA ST,Part three,Other,768651.8865,,2941929.1969999997,2013
