,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
6792,130763443.0,Tuesday,No,2013-12-03T20:00:00.000,OTHER LARCENY,"[-71.08691, 42.280196]",Point,06xx,12,LARCRT,428,B3,First,No,ASTICOU RD,Part One,Other,767954.4837,,2927401.7189999996,2013
29814,130765871.0,Tuesday,No,2013-12-03T15:00:00.000,OTHER LARCENY,"[-71.127735, 42.350476]",Point,06xx,12,LARCRT,796,D14,Day,No,COMMONWEALTH AV,Part One,Other,756794.8154,,2952961.9930000002,2013
34728,130762791.0,Tuesday,No,2013-12-03T15:00:00.000,OTHER LARCENY,"[-71.06574, 42.361226]",Point,06xx,12,SHPLFT,65,A1,Day,No,CAMBRIDGE ST,Part One,Unarmed,773532.9837,,2956958.8430000003,2013
45259,130762914.0,Tuesday,No,2013-12-03T16:23:00.000,OTHER LARCENY,"[-71.0626, 42.352361]",Point,06xx,12,LARCIP,111,A1,First,No,WASHINGTON ST,Part One,Unarmed,774398.1813,BOYLSTON ST,2953732.602,2013
53303,130761758.0,Tuesday,No,2013-12-03T03:43:00.000,OTHER LARCENY,"[-71.12348, 42.258416]",Point,06xx,12,IVPER ,520,E18,Last,No,HYDE PARK AV,Part One,Unarmed,758093.2583,,2919418.98,2013
64117,130761603.0,Tuesday,No,2013-12-03T00:50:00.000,OTHER LARCENY,"[-71.0707, 42.346451]",Point,06xx,12,IVPER ,0,D4,Last,No,BERKELEY ST,Part One,Unarmed,772219.5706,,2951567.764,2013
70043,130765547.0,Tuesday,No,2013-12-03T22:00:00.000,OTHER LARCENY,"[-71.065055, 42.359681]",Point,06xx,12,BERPT ,67,A1,First,No,JOY ST,Part One,Unarmed,773720.9863,,2956396.758,2013
78570,130769738.0,Tuesday,No,2013-12-03T18:00:00.000,OTHER LARCENY,"[-71.0557, 42.359816]",Point,06xx,12,BERPT ,94,A1,First,No,S MARKET ST,Part One,Unarmed,776249.1174,,2956458.986,2013
94737,130763819.0,Tuesday,No,2013-12-03T11:30:00.000,OTHER LARCENY,"[-71.089912, 42.309524]",Point,06xx,12,LARCRT,318,B2,Day,No,BROOKLEDGE ST,Part One,Unarmed,767090.6075,,2938085.256,2013
100500,130762400.0,Tuesday,No,2013-12-03T13:02:00.000,OTHER LARCENY,"[-71.074855, 42.350756]",Point,06xx,12,ARREST,129,D4,Day,No,BOYLSTON ST,Part One,Unarmed,771088.5381,BOYLSTON ST,2953130.961,2013
142313,130765824.0,Tuesday,No,2013-12-03T18:58:00.000,OTHER LARCENY,"[-71.150935, 42.288809]",Point,06xx,12,LSTPRP,691,E5,First,No,MANTHORNE RD,Part One,Other,750615.6736,,2930462.8460000004,2013
149651,130762193.0,Tuesday,No,2013-12-03T09:44:00.000,OTHER LARCENY,"[-71.085835, 42.324566]",Point,06xx,12,LARCRT,294,B2,Day,No,REGENT ST,Part One,Unarmed,768166.8803,,2943572.2460000003,2013
171938,130765407.0,Tuesday,No,2013-12-03T17:00:00.000,OTHER LARCENY,"[-71.063873, 42.325436]",Point,06xx,12,LARCRT,186,C6,First,No,ALLSTATE RD,Part One,Unarmed,774104.1328,,2943918.604,2013
245726,130799309.0,Tuesday,No,2013-12-03T08:25:00.000,OTHER LARCENY,"[-71.171675, 42.278601]",Point,06xx,12,LARCRT,729,E5,Day,No,VFW PY,Part One,Unarmed,745018.3088,,2926720.784,2013
