,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
5922,140198895.0,Wednesday,No,2014-04-02T17:00:00.000,32GUN,"[-71.065185, 42.307956]",Point,32GUN,4,BUYBAK,340,C11,First,No,BOWDOIN ST,Part three,Unarmed,773781.9406,,2937547.084,2014
33374,140199171.0,Wednesday,No,2014-04-02T13:00:00.000,32GUN,"[-71.092515, 42.281306]",Point,32GUN,4,BUYBAK,466,B3,Day,No,BLUE HILL AV,Part three,Unarmed,766435.7761,,2927798.922,2014
76680,140198405.0,Wednesday,No,2014-04-02T13:40:00.000,32GUN,"[-71.065185, 42.307956]",Point,32GUN,4,BUYBAK,340,C11,Day,No,BOWDOIN ST,Part three,Firearm,773781.9406,,2937547.084,2014
126602,140198290.0,Wednesday,No,2014-04-02T12:30:00.000,32GUN,"[-71.085618, 42.32866]",Point,32GUN,4,FDWEAP,282,B2,Day,No,WASHINGTON ST,Part three,Firearm,768218.0809,,2945064.255,2014
136751,140198892.0,Wednesday,No,2014-04-02T17:00:00.000,32GUN,"[-71.065185, 42.307956]",Point,32GUN,4,BUYBAK,340,C11,First,No,BOWDOIN ST,Part three,Unarmed,773781.9406,,2937547.084,2014
147975,140198439.0,Wednesday,No,2014-04-02T14:00:00.000,32GUN,"[-71.072422, 42.29719]",Point,32GUN,4,BUYBAK,453,C11,Day,No,WASHINGTON ST,Part three,Unarmed,771843.9805,,2933613.758,2014
177025,140198404.0,Wednesday,No,2014-04-02T13:40:00.000,32GUN,"[-71.065185, 42.307956]",Point,32GUN,4,BUYBAK,340,C11,Day,No,BOWDOIN ST,Part three,Firearm,773781.9406,,2937547.084,2014
185414,140198612.0,Wednesday,No,2014-04-02T15:15:00.000,32GUN,"[-71.08559, 42.336381]",Point,32GUN,4,CD19  ,285,D4,Day,No,TREMONT ST,Part three,Firearm,768212.2151,,2947878.162,2014
205333,140198324.0,Wednesday,No,2014-04-02T13:00:00.000,32GUN,"[-71.059987, 42.361648]",Point,32GUN,4,BUYBAK,72,A1,Day,No,SUDBURY ST,Part three,Firearm,775087.02,,2957120.525,2014
223150,140198494.0,Wednesday,No,2014-04-02T14:30:00.000,32GUN,"[-71.119714, 42.292533]",Point,32GUN,4,BUYBAK,564,E5,Day,No,BROOKWAY RD,Part three,Unarmed,759057.0586,,2931855.943,2014
