,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
4439,140260570.0,Tuesday,No,2014-04-29T13:24:00.000,Service,"[-71.143891, 42.345952]",Point,Service,4,ARREST,938,D14,Day,No,FIDELIS WY,Part three,Unarmed,752434.4823,,2951294.5710000005,2014
9109,140260366.0,Tuesday,No,2014-04-29T11:53:00.000,Service,"[-71.06942, 42.362401]",Point,Service,4,IVPER ,64,A1,Day,No,FRUIT ST,Other,Unarmed,772536.2528,CAMBRIDGE ST,2957381.922,2014
58937,140259599.0,Tuesday,No,2014-04-29T01:15:00.000,Service,"[-71.05779, 42.310451]",Point,Service,4,ARREST,255,C11,Last,No,DORCHESTER AV,Part three,Unarmed,775777.5166,ROACH ST,2938466.586,2014
59908,140262630.0,Tuesday,No,2014-04-29T23:21:00.000,Service,"[-71.12088, 42.351821]",Point,Service,4,CHDABU,797,D14,First,No,COMMONWEALTH AV,Part three,Unarmed,758645.7992,,2953460.415,2014
76222,140261562.0,Tuesday,No,2014-04-29T20:15:00.000,Service,"[-71.108578, 42.32854]",Point,Service,4,IVPREM,606,B2,First,No,ELLINGWOOD ST,Other,Other,762009.9172,,2944991.103,2014
103270,140260046.0,Tuesday,No,2014-04-29T09:03:00.000,Service,"[-71.046205, 42.349303]",Point,Service,4,DISTRB,206,C6,Day,No,CONGRESS ST,Part three,Unarmed,778835.4885,,2952641.216,2014
146669,140259663.0,Tuesday,No,2014-04-29T02:07:00.000,Service,"[-71.06313, 42.289921]",Point,Service,4,ARREST,0,C11,Last,No,DORCHESTER AV,Part three,Unarmed,774371.4635,LONSDALE ST,2930977.705,2014
155727,140259803.0,Tuesday,No,2014-04-29T06:30:00.000,Service,"[-71.060105, 42.357876]",Point,Service,4,IVPREM,103,A1,Last,No,SCHOOL ST,Part three,Unarmed,775062.2215,,2955745.8419999997,2014
173021,140260389.0,Tuesday,No,2014-04-29T09:22:00.000,Service,"[-71.061123, 42.296931]",Point,Service,4,CD11  ,355,C11,Day,No,DORCHESTER AV,Part three,Unarmed,774901.1102,,2933534.9710000004,2014
239534,140260969.0,Tuesday,No,2014-04-29T16:20:00.000,Service,"[-71.07572, 42.335536]",Point,Service,4,CD11  ,170,D4,First,No,MASSACHUSETTS AV,Part three,Unarmed,770882.3115,,2947583.349,2014
254426,140260302.0,Tuesday,No,2014-04-29T11:10:00.000,Service,"[0, 0]",Point,Service,4,IVPER ,116,A1,Day,No,PING ON ST,Part three,Unarmed,,,,2014
