,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
9457,140322161.0,Friday,No,2014-05-23T00:00:00.000,PersLoc,"[-71.081185, 42.326171]",Point,PersLoc,5,MISPER,281,B2,Last,No,WINTHROP ST,Other,Unarmed,769421.4699,,2944163.276,2014
21530,140321178.0,Friday,No,2014-05-23T08:00:00.000,PersLoc,"[-71.090055, 42.294061]",Point,PersLoc,5,MISPER,463,B3,Day,No,WILBERT RD,Other,Unarmed,767079.1298,,2932450.22,2014
29186,140328477.0,Friday,No,2014-05-23T14:15:00.000,PersLoc,"[-71.063804, 42.313876]",Point,PersLoc,5,MISPER,823,C11,Day,No,CUSHING AV,Other,Unarmed,774144.3198,,2939706.043,2014
33689,140322727.0,Friday,No,2014-05-23T06:30:00.000,PersLoc,"[-71.167505, 42.275526]",Point,PersLoc,5,MISPER,725,E5,Last,No,SPRING ST,Other,Unarmed,746151.1602,,2925604.578,2014
58631,140321721.0,Friday,No,2014-05-23T12:45:00.000,PersLoc,"[-71.124361, 42.28369]",Point,PersLoc,5,MISPER,561,E5,Day,No,CUMMINS HY,Other,Unarmed,757814.1441,,2928627.903,2014
84467,140320960.0,Friday,No,2014-05-23T10:05:00.000,PersLoc,"[-71.098725, 42.315361]",Point,PersLoc,5,MISPER,577,E13,Day,No,WASHINGTON ST,Other,Unarmed,764696.9253,,2940201.124,2014
119485,140322068.0,Friday,No,2014-05-23T13:00:00.000,PersLoc,"[-71.13163, 42.249486]",Point,PersLoc,5,MISPER,540,E18,Day,No,ELLIS ST,Other,Unarmed,755901.0685,,2916155.14,2014
217865,140322608.0,Friday,No,2014-05-23T22:00:00.000,PersLoc,"[-71.120906, 42.29036]",Point,PersLoc,5,MISPER,563,E5,First,No,BRADEEN ST,Other,Unarmed,758738.1691,,2931062.6210000003,2014
241983,140323791.0,Friday,No,2014-05-23T08:00:00.000,PersLoc,"[-71.065445, 42.279506]",Point,PersLoc,5,MISPER,388,C11,Day,No,PATTERSON ST,Other,Unarmed,773764.4324,,2927179.1360000004,2014
246915,140321979.0,Friday,No,2014-05-23T17:19:00.000,PersLoc,"[-71.077185, 42.296021]",Point,PersLoc,5,MISPER,446,B3,First,No,ATHELWOLD ST,Other,Unarmed,770557.5917,,2933181.47,2014
