,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
5610,140368632.0,Wednesday,No,2014-06-11T10:05:00.000,BENoProp,"[-71.06934, 42.285836]",Point,BENoProp,6,BEIP  ,400,C11,Day,No,MELLEN ST,Part One,Unarmed,772698.7442,,2929480.5289999996,2014
7445,140371543.0,Wednesday,No,2014-06-11T18:00:00.000,BENoProp,"[-71.07632, 42.350356]",Point,BENoProp,6,BERPT ,134,D4,First,No,BOYLSTON ST,Part One,Other,770693.2587,DARTMOUTH ST,2952983.224,2014
51560,140371548.0,Wednesday,No,2014-06-11T18:00:00.000,BENoProp,"[-71.07632, 42.350356]",Point,BENoProp,6,BERPT ,134,D4,First,No,BOYLSTON ST,Part One,Other,770693.2587,DARTMOUTH ST,2952983.224,2014
59788,140371382.0,Wednesday,No,2014-06-11T07:42:00.000,BENoProp,"[-71.12546, 42.250636]",Point,BENoProp,6,BERPT ,522,E18,Day,No,A ST,Part One,Unarmed,757569.7125,,2916581.488,2014
77467,140371531.0,Wednesday,No,2014-06-11T18:00:00.000,BENoProp,"[-71.07632, 42.350356]",Point,BENoProp,6,BERPT ,134,D4,First,No,BOYLSTON ST,Part One,Other,770693.2587,DARTMOUTH ST,2952983.224,2014
107862,140371544.0,Wednesday,No,2014-06-11T18:00:00.000,BENoProp,"[-71.07632, 42.350356]",Point,BENoProp,6,BERPT ,134,D4,First,No,BOYLSTON ST,Part One,Other,770693.2587,DARTMOUTH ST,2952983.224,2014
157079,140371519.0,Wednesday,No,2014-06-11T18:00:00.000,BENoProp,"[-71.07632, 42.350356]",Point,BENoProp,6,BERPT ,134,D4,First,No,BOYLSTON ST,Part One,Other,770693.2587,DARTMOUTH ST,2952983.224,2014
157081,140371537.0,Wednesday,No,2014-06-11T18:00:00.000,BENoProp,"[-71.07632, 42.350356]",Point,BENoProp,6,BERPT ,134,D4,First,No,BOYLSTON ST,Part One,Other,770693.2587,DARTMOUTH ST,2952983.224,2014
163348,140371514.0,Wednesday,No,2014-06-11T18:00:00.000,BENoProp,"[-71.07632, 42.350356]",Point,BENoProp,6,BERPT ,134,D4,First,No,BOYLSTON ST,Part One,Other,770693.2587,DARTMOUTH ST,2952983.224,2014
204822,140369698.0,Wednesday,No,2014-06-11T17:18:00.000,BENoProp,"[-71.092001, 42.278561]",Point,BENoProp,6,CD19  ,0,B3,First,No,FESSENDEN ST,Part One,Unarmed,766579.5337,,2926799.047,2014
217332,140371518.0,Wednesday,No,2014-06-11T18:00:00.000,BENoProp,"[-71.07632, 42.350356]",Point,BENoProp,6,BERPT ,134,D4,First,No,BOYLSTON ST,Part One,Other,770693.2587,DARTMOUTH ST,2952983.224,2014
217671,140371541.0,Wednesday,No,2014-06-11T18:00:00.000,BENoProp,"[-71.07632, 42.350356]",Point,BENoProp,6,BERPT ,134,D4,First,No,BOYLSTON ST,Part One,Other,770693.2587,DARTMOUTH ST,2952983.224,2014
242947,140371545.0,Wednesday,No,2014-06-11T18:00:00.000,BENoProp,"[-71.07632, 42.350356]",Point,BENoProp,6,BERPT ,134,D4,First,No,BOYLSTON ST,Part One,Other,770693.2587,DARTMOUTH ST,2952983.224,2014
