,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
6803,142028871.0,Friday,No,2014-09-12T19:49:00.000,InvProp,"[-71.0719, 42.293541]",Point,InvProp,9,SHOTS,0,C11,First,No,WASHINGTON ST,Part three,Unarmed,771991.9497,,2932284.853,2014
31784,142028630.0,Friday,No,2014-09-12T05:30:00.000,InvProp,"[-71.13241, 42.353026]",Point,InvProp,9,ALARM,0,D14,Last,No,BRIGHTON AV,Part three,Unarmed,755527.2809,,2953885.8989999997,2014
45414,142028939.0,Friday,No,2014-09-12T23:37:00.000,InvProp,"[-71.064405, 42.283177]",Point,InvProp,9,SHOTS,0,C11,First,No,BEALE ST,Part three,Firearm,774038.9669,,2928518.187,2014
66223,142028825.0,Friday,No,2014-09-12T17:34:00.000,InvProp,"[-71.14805, 42.259326]",Point,InvProp,9,AOD,0,E5,First,No,GEORGETOWNE DR,Part three,Unarmed,751440.6434,,2919722.167,2014
72404,142028881.0,Friday,No,2014-09-12T17:30:00.000,InvProp,"[-71.06122, 42.365521]",Point,InvProp,9,CD9,0,A1,First,No,CAUSEWAY ST,Part three,Unarmed,774746.5282,CANAL ST,2958530.278,2014
74186,142028647.0,Friday,No,2014-09-12T08:30:00.000,InvProp,"[-71.06255, 42.365411]",Point,InvProp,9,CD9,0,A1,Day,No,LEGENDS WAY,Part three,Unarmed,774387.3075,,2958488.345,2014
104341,142028668.0,Friday,No,2014-09-12T07:00:00.000,InvProp,"[-71.118926, 42.280846]",Point,InvProp,9,AOD,0,E18,Last,No,HYDE PARK AV,Part three,Unarmed,759289.3239,,2927598.193,2014
130236,142028880.0,Friday,No,2014-09-12T20:05:00.000,InvProp,"[-71.05582, 42.360091]",Point,InvProp,9,IVPER,0,A1,First,No,FANEUIL HALL SQ,Part three,Unarmed,776216.1627,,2956559.0330000003,2014
189638,142028924.0,Friday,No,2014-09-12T22:31:00.000,InvProp,"[-71.082005, 42.351956]",Point,InvProp,9,ALARM,0,D4,First,No,MARLBOROUGH ST,Part three,Unarmed,769153.6801,,2953558.7139999997,2014
235805,142028675.0,Friday,No,2014-09-12T09:00:00.000,InvProp,"[-71.06122, 42.365521]",Point,InvProp,9,CD9,0,A1,Day,No,CAUSEWAY ST,Part three,Unarmed,774746.5282,CANAL ST,2958530.278,2014
238789,142028919.0,Friday,No,2014-09-12T22:46:00.000,InvProp,"[-71.07887, 42.293211]",Point,InvProp,9,BE,0,B3,First,No,WESTCOTT ST,Part three,Knife,770106.7826,,2932155.209,2014
