,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
54856,142029672.0,Monday,No,2014-09-15T06:00:00.000,InvPer,"[-71.089645, 42.348856]",Point,InvPer,9,INVEST,0,D4,Last,No,COMMONWEALTH AV,Part three,Unarmed,767093.9894,,2952418.985,2014
71867,142029680.0,Monday,No,2014-09-15T14:45:00.000,InvPer,"[-71.10351, 42.337141]",Point,InvPer,9,IVPREM,0,B2,Day,No,LONGWOOD AV,Part three,Unarmed,763365.8751,AV LOUIS PASTEUR,2948132.088,2014
115006,142029788.0,Monday,No,2014-09-15T19:17:00.000,InvPer,"[-71.05911, 42.354401]",Point,InvPer,9,ARREST,0,A1,First,No,SUMMER ST,Part three,Unarmed,775337.6937,ARCH ST,2954480.874,2014
123907,142061585.0,Monday,No,2014-09-15T13:00:00.000,InvPer,"[-71.122665, 42.352056]",Point,InvPer,9,PERGUN,0,D14,Day,No,COMMONWEALTH AV,Part three,Other,758162.9245,,2953543.914,2014
126207,142029617.0,Monday,No,2014-09-15T11:40:00.000,InvPer,"[-71.08255, 42.318046]",Point,InvPer,9,IVPER,0,B2,Day,No,MARTIN LUTHER KING BLVD,Part three,Unarmed,769066.8447,WARREN ST,2941200.578,2014
151171,142029796.0,Monday,No,2014-09-15T19:11:00.000,InvPer,"[-71.10395, 42.329316]",Point,InvPer,9,IVPER,0,B2,First,No,PARKER HILL AV,Part three,Unarmed,763260.1548,,2945279.966,2014
167201,152009695.0,Monday,No,2014-09-15T15:45:00.000,InvPer,"[-71.05021, 42.330401]",Point,InvPer,9,IVPER,0,C6,Day,No,MERCER ST,Part three,Unarmed,777789.4286,,2945747.4060000004,2014
170677,142029650.0,Monday,No,2014-09-15T13:07:00.000,InvPer,"[-71.066765, 42.312461]",Point,InvPer,9,BE,0,C11,Day,No,GLEN ST,Part three,Unarmed,773346.0645,,2939186.352,2014
192353,142029714.0,Monday,No,2014-09-15T16:27:00.000,InvPer,"[-71.067775, 42.273361]",Point,InvPer,9,IVPER,0,C11,First,No,DORCHESTER AV,Part three,Unarmed,773145.2492,,2924936.613,2014
209070,142029618.0,Monday,No,2014-09-15T11:51:00.000,InvPer,"[-71.065925, 42.358806]",Point,InvPer,9,REQP,0,A1,Day,No,PINCKNEY ST,Part three,Unarmed,773487.473,,2956076.6939999997,2014
226960,142034243.0,Monday,No,2014-09-15T15:00:00.000,InvPer,"[-71.09134, 42.343301]",Point,InvPer,9,IVPER,0,D4,Day,No,FENWAY,Part three,Unarmed,766645.4993,AGASSIZ RD,2950392.436,2014
