,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
7554,142041755.0,Wednesday,No,2014-10-22T22:11:00.000,PropDam,"[-71.03528, 42.332716]",Point,PropDam,10,IVPREM,0,C6,First,No,L ST,Part three,Unarmed,781821.8448,,2946612.673,2014
17212,142041763.0,Wednesday,No,2014-10-22T23:30:00.000,PropDam,"[-71.036685, 42.373191]",Point,PropDam,10,FO,0,A7,First,No,PARIS ST,Part three,Unarmed,781361.8332,,2961360.439,2014
19776,142041784.0,Wednesday,No,2014-10-22T00:30:00.000,PropDam,"[-71.09766, 42.311671]",Point,PropDam,10,VAND,0,E13,Last,No,WALNUT AV,Part three,Unarmed,764991.3103,IFFLEY RD,2938857.784,2014
26745,142041758.0,Wednesday,No,2014-10-22T22:30:00.000,PropDam,"[-71.034295, 42.333151]",Point,PropDam,10,IVPREM,0,C6,First,No,6TH ST,Part three,Unarmed,782087.3094,,2946772.648,2014
64783,142041746.0,Wednesday,No,2014-10-22T22:05:00.000,PropDam,"[-71.06655, 42.348801]",Point,PropDam,10,IVPREM,0,A1,First,No,CHARLES ST S,Part three,Unarmed,773337.0788,TREMONT ST,2952429.8210000005,2014
81606,142041762.0,Wednesday,No,2014-10-22T22:27:00.000,PropDam,"[-71.117605, 42.277556]",Point,PropDam,10,IVPREM,0,E18,First,No,NAVARRE ST,Part three,Other,759652.2621,,2926400.896,2014
93499,142041749.0,Wednesday,No,2014-10-22T22:25:00.000,PropDam,"[-71.06196, 42.372951]",Point,PropDam,10,IVPREM,0,A15,First,No,HENLEY ST,Part three,Other,774532.6406,MAIN ST,2961236.892,2014
103147,142041664.0,Wednesday,No,2014-10-22T18:00:00.000,PropDam,"[-71.03028, 42.336586]",Point,PropDam,10,IVPREM,0,C6,First,No,E 3RD ST,Part three,Unarmed,783166.0081,,2948030.372,2014
103218,142041772.0,Wednesday,No,2014-10-22T22:36:00.000,PropDam,"[-71.07446, 42.344301]",Point,PropDam,10,IVPREM,0,D4,First,No,WARREN AV,Part three,Other,771207.0464,DARTMOUTH ST,2950779.17,2014
138240,142041692.0,Wednesday,No,2014-10-22T16:59:00.000,PropDam,"[-71.05784, 42.310196]",Point,PropDam,10,IVPREM,0,C11,First,No,DORCHESTER AV,Part three,Unarmed,775764.4743,,2938373.5889999997,2014
155373,142041754.0,Wednesday,No,2014-10-22T19:37:00.000,PropDam,"[-71.087047, 42.328859]",Point,PropDam,10,IVPREM,0,B2,First,No,KENILWORTH ST,Part three,Unarmed,767831.52,,2945134.812,2014
174978,142041796.0,Wednesday,No,2014-10-22T23:50:00.000,PropDam,"[-71.09859, 42.332096]",Point,PropDam,10,REQP,0,B2,Last,No,TREMONT ST,Part three,Other,764704.7386,,2946299.8219999997,2014
177155,142041788.0,Wednesday,No,2014-10-22T11:58:00.000,PropDam,"[-71.06063, 42.373401]",Point,PropDam,10,FO,0,A15,Day,No,PARK ST,Part three,Unarmed,774891.1811,,2961402.73,2014
188668,142041859.0,Wednesday,No,2014-10-22T00:00:00.000,PropDam,"[-71.085118, 42.298635]",Point,PropDam,10,PROP,0,B3,Last,No,ESMOND ST,Part three,Other,768406.6291,,2934123.522,2014
204688,142041751.0,Wednesday,No,2014-10-22T10:21:00.000,PropDam,"[-71.06929, 42.379621]",Point,PropDam,10,IVPREM,0,A15,Day,No,MAIN ST,Part three,Other,772539.6947,,2963657.494,2014
221651,142041748.0,Wednesday,No,2014-10-22T22:14:00.000,PropDam,"[-71.059475, 42.317856]",Point,PropDam,10,IVPREM,0,C11,First,No,WILLIS ST,Part three,Unarmed,775307.8187,,2941162.7260000003,2014
225950,142041702.0,Wednesday,No,2014-10-22T19:11:00.000,PropDam,"[-71.10205, 42.311961]",Point,PropDam,10,IVPREM,0,E13,First,No,WASHINGTON ST,Part three,Unarmed,763803.4218,,2938957.895,2014
236389,142041807.0,Wednesday,No,2014-10-22T22:30:00.000,PropDam,"[-71.05443, 42.284201]",Point,PropDam,10,IVPREM,0,C11,First,No,SARANAC ST,Part three,Other,776736.3057,,2928905.437,2014
241895,142041760.0,Wednesday,No,2014-10-22T22:50:00.000,PropDam,"[-71.09587, 42.343151]",Point,PropDam,10,PROP,0,D4,First,No,QUEENSBERRY ST,Part three,Unarmed,765421.1085,,2950331.941,2014
264676,142041671.0,Wednesday,No,2014-10-22T17:20:00.000,PropDam,"[0, 0]",Point,PropDam,10,FO,0,D4,First,No,PUBLIC ALLEY 901,Part three,Unarmed,,FENWAY,,2014
