,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
76875,142048913.0,Friday,No,2014-11-14T12:30:00.000,PersLoc,"[-71.073499, 42.281519]",Point,PersLoc,11,IVPER,0,B3,Day,No,FULLER ST,Other,Unarmed,771581.0667,,2927901.49,2014
116379,142049015.0,Friday,No,2014-11-14T20:00:00.000,PersLoc,"[-71.07635, 42.287146]",Point,PersLoc,11,MISSIN,0,B3,First,No,PEACEVALE RD,Other,Unarmed,770799.5613,,2929948.413,2014
123404,142049063.0,Friday,No,2014-11-14T08:10:00.000,PersLoc,"[-71.071365, 42.284885]",Point,PersLoc,11,IVPER,0,C11,Day,No,WASHINGTON ST,Other,Unarmed,772152.4973,,2929130.9869999997,2014
129146,142049838.0,Friday,No,2014-11-14T23:30:00.000,PersLoc,"[-71.08181, 42.29754]",Point,PersLoc,11,IVPER,0,B3,First,No,GLEASON ST,Other,Unarmed,769303.5968,,2933728.817,2014
159035,142049236.0,Friday,No,2014-11-14T07:45:00.000,PersLoc,"[-71.08326, 42.300656]",Point,PersLoc,11,IVPER,0,B3,Day,No,GLENWAY ST,Other,Unarmed,768905.7882,,2934862.445,2014
160040,142049142.0,Friday,No,2014-11-14T08:30:00.000,PersLoc,"[-71.094678, 42.319428]",Point,PersLoc,11,IVPER,0,B2,Day,No,WASHINGTON ST,Other,Unarmed,765784.2745,,2941688.4,2014
178898,142049052.0,Friday,No,2014-11-14T08:00:00.000,PersLoc,"[-71.07955, 42.336331]",Point,PersLoc,11,IVPER,0,D4,Day,No,SHAWMUT AV,Other,Unarmed,769845.3464,,2947867.933,2014
186355,142049171.0,Friday,No,2014-11-14T12:00:00.000,PersLoc,"[-71.122558, 42.289692]",Point,PersLoc,11,MISSIN,0,E5,Day,No,GRANFIELD AV,Other,Unarmed,758292.2559999999,,2930817.442,2014
206038,142049060.0,Friday,No,2014-11-14T06:30:00.000,PersLoc,"[-71.04119, 42.320111]",Point,PersLoc,11,IVPER,0,C6,Last,No,N POINT DR,Other,Unarmed,780248.572,,2942010.5539999995,2014
210752,142049010.0,Friday,No,2014-11-14T06:20:00.000,PersLoc,"[-71.03584, 42.376091]",Point,PersLoc,11,MISC,0,A7,Last,No,MARION ST,Other,Unarmed,781584.4115,BENNINGTON ST,2962418.498,2014
227301,142049029.0,Friday,No,2014-11-14T21:30:00.000,PersLoc,"[-71.080596, 42.327236]",Point,PersLoc,11,MISSIN,0,B2,First,No,GREENVILLE ST,Other,Unarmed,769578.6737,,2944551.923,2014
259697,142049035.0,Friday,No,2014-11-14T17:00:00.000,PersLoc,"[-71.073635, 42.288136]",Point,PersLoc,11,MISSIN,0,B3,First,No,OAKWOOD ST,Other,Unarmed,771532.3853,,2930312.8430000003,2014
264026,142048969.0,Friday,No,2014-11-14T17:15:00.000,PersLoc,"[0, 0]",Point,PersLoc,11,MISSIN,0,A7,First,No,MAVERICK SQ,Other,Unarmed,,,,2014
