,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
12412,142049739.0,Monday,No,2014-11-17T13:30:00.000,Bomb,"[-71.05899, 42.356791]",Point,Bomb,11,BOMB,0,A1,Day,No,WASHINGTON ST,Part Two,Unarmed,775365.6264,,2955352.003,2014
52809,142049799.0,Monday,No,2014-11-17T16:54:00.000,Bomb,"[-71.067535, 42.274196]",Point,Bomb,11,BOMB,0,C11,First,No,DORCHESTER AV,Part Two,Other,773208.6602,,2925241.227,2014
104454,142049742.0,Monday,No,2014-11-17T13:30:00.000,Bomb,"[-71.062548, 42.361157]",Point,Bomb,11,BOMB,0,A1,Day,No,CAMBRIDGE ST,Part Two,Other,774395.6116,,2956937.863,2014
117389,142049782.0,Monday,No,2014-11-17T16:34:00.000,Bomb,"[-71.081035, 42.349986]",Point,Bomb,11,BOMB,0,D4,First,No,NEWBURY ST,Part Two,Unarmed,769419.4017,,2952842.095,2014
135163,142049731.0,Monday,No,2014-11-17T13:24:00.000,Bomb,"[-71.03657, 42.335606]",Point,Bomb,11,BOMB,0,C6,Day,No,E BROADWAY,Part Two,Unarmed,781467.3346,,2947663.7180000003,2014
170441,142049800.0,Monday,No,2014-11-17T17:26:00.000,Bomb,"[-71.120977, 42.267011]",Point,Bomb,11,BOMB,0,E18,First,No,HYDE PARK AV,Part Two,Unarmed,758756.7157,,2922553.869,2014
181953,142049808.0,Monday,No,2014-11-17T17:10:00.000,Bomb,"[-71.11177, 42.319346]",Point,Bomb,11,BOMB,0,E13,First,No,CENTRE ST,Part Two,Unarmed,761162.1489,,2941636.998,2014
197854,142049764.0,Monday,No,2014-11-17T15:30:00.000,Bomb,"[-71.060674, 42.360562]",Point,Bomb,11,BOMB,0,A1,Day,No,CENTER PZ,Part Two,Unarmed,774903.4055,,2956723.5960000004,2014
211230,142049804.0,Monday,No,2014-11-17T17:44:00.000,Bomb,"[-71.14941, 42.355611]",Point,Bomb,11,BOMB,0,D14,First,No,MARKET ST,Part Two,Unarmed,750928.2947,,2954808.582,2014
259573,142049784.0,Monday,No,2014-11-17T16:00:00.000,Bomb,"[-71.15612, 42.349091]",Point,Bomb,11,BOMB,0,D14,First,No,WASHINGTON ST,Part Two,Unarmed,749124.2284,,2952425.175,2014
