,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
19038,152028459.0,Wednesday,No,2015-04-08T11:03:00.000,MedAssist,"[-71.10985, 42.264676]",Point,MedAssist,4,EDP,0,E18,Day,No,WOOD AV,Part three,Unarmed,761772.5295,,2921716.787,2015
50335,152028419.0,Wednesday,No,2015-04-08T09:29:00.000,MedAssist,"[-71.080301, 42.292654]",Point,MedAssist,4,IVPER,0,B3,Day,No,TALBOT AV,Part three,Other,769720.5959999999,,2931950.291,2015
92606,152028493.0,Wednesday,No,2015-04-08T14:45:00.000,MedAssist,"[-71.05899, 42.356791]",Point,MedAssist,4,IVPER,0,A1,Day,No,WASHINGTON ST,Part three,Unarmed,775365.6264,,2955352.003,2015
97432,152028475.0,Wednesday,No,2015-04-08T13:10:00.000,MedAssist,"[-71.07572, 42.335536]",Point,MedAssist,4,UNKEMS,0,D4,Day,No,MASSACHUSETTS AV,Part three,Unarmed,770882.3115,,2947583.349,2015
112668,152028525.0,Wednesday,No,2015-04-08T16:57:00.000,MedAssist,"[-71.066885, 42.362496]",Point,MedAssist,4,STAB,0,A1,First,No,BLOSSOM ST,Part three,Unarmed,773221.1808,,2957420.083,2015
141602,152028462.0,Wednesday,No,2015-04-08T11:10:00.000,MedAssist,"[-71.150915, 42.348981]",Point,MedAssist,4,INJOFF,0,D14,Day,No,WASHINGTON ST,Part three,Unarmed,750531.3965,,2952390.805,2015
160658,152028415.0,Wednesday,No,2015-04-08T09:38:00.000,MedAssist,"[-71.05256, 42.335086]",Point,MedAssist,4,EDP,0,C6,Day,No,E ST,Part three,Unarmed,777145.0414,,2947451.358,2015
170927,152028473.0,Wednesday,No,2015-04-08T12:34:00.000,MedAssist,"[-71.118795, 42.280851]",Point,MedAssist,4,IVPER,0,E18,Day,No,HYDE PARK AV,Part three,Unarmed,759324.9721,,2927600.233,2015
246689,152028394.0,Wednesday,No,2015-04-08T07:20:00.000,MedAssist,"[-71.065491, 42.305384]",Point,MedAssist,4,UNCONS,0,C11,Last,No,DRAPER ST,Part three,Unarmed,773703.9466,,2936609.337,2015
267443,152028396.0,Wednesday,No,2015-04-08T07:27:00.000,MedAssist,"[0, 0]",Point,MedAssist,4,REQP,0,D14,Last,No,COMMONWEALTH AV,Part three,Unarmed,,,,2015
