,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
312,152034852.0,Wednesday,No,2015-04-29T12:00:00.000,MVAcc,"[0, 0]",Point,MVAcc,4,MVA,0,A15,Day,No,RUTHERFORD AV,Other,Unarmed,,,,2015
328,152034867.0,Wednesday,No,2015-04-29T09:40:00.000,MVAcc,"[0, 0]",Point,MVAcc,4,PROP,0,E13,Day,No,SCHOOL ST,Other,Other,,,,2015
14508,152035222.0,Wednesday,No,2015-04-29T22:35:00.000,MVAcc,"[-71.05683, 42.323736]",Point,MVAcc,4,VAND,0,C6,First,No,DORCHESTER AV,Other,Unarmed,776012.0253,,2943309.1989999996,2015
35560,152034942.0,Wednesday,No,2015-04-29T15:39:00.000,MVAcc,"[-71.098875, 42.264003]",Point,MVAcc,4,MVA,0,E18,Day,No,MATTAKEESET ST,Other,Unarmed,764744.2434,,2921485.3010000004,2015
54136,152034779.0,Wednesday,No,2015-04-29T07:58:00.000,MVAcc,"[-71.152659, 42.350461]",Point,MVAcc,4,MVA,0,D14,Day,No,MARKET ST,Other,Unarmed,750057.5927,,2952928.002,2015
64111,152035158.0,Wednesday,No,2015-04-29T07:30:00.000,MVAcc,"[-71.1342, 42.354901]",Point,MVAcc,4,MVA,0,D14,Day,No,CAMBRIDGE ST,Other,Unarmed,755040.5122,,2954567.108,2015
88715,152034891.0,Wednesday,No,2015-04-29T14:08:00.000,MVAcc,"[-71.073304, 42.292786]",Point,MVAcc,4,MVA,0,B3,Day,No,DUNLAP ST,Other,Unarmed,771613.2261,WHITFIELD ST,2932007.611,2015
101329,152035047.0,Wednesday,No,2015-04-29T22:35:00.000,MVAcc,"[-71.05683, 42.323736]",Point,MVAcc,4,MVA,0,C6,First,No,DORCHESTER AV,Other,Unarmed,776012.0253,,2943309.1989999996,2015
203367,152034797.0,Wednesday,No,2015-04-29T08:58:00.000,MVAcc,"[-71.067545, 42.314406]",Point,MVAcc,4,MVA,0,B2,Day,No,COLUMBIA RD,Other,Unarmed,773131.6617,,2939894.3210000005,2015
205421,152034815.0,Wednesday,No,2015-04-29T09:38:00.000,MVAcc,"[-71.0879, 42.348121]",Point,MVAcc,4,MVA,0,D4,Day,No,NEWBURY ST,Other,Unarmed,767566.9878,,2952153.41,2015
219997,152034911.0,Wednesday,No,2015-04-29T13:30:00.000,MVAcc,"[-71.071303, 42.31078]",Point,MVAcc,4,MVA,0,B2,Day,No,COLUMBIA RD,Other,Other,772121.7044,,2938567.833,2015
237491,152034943.0,Wednesday,No,2015-04-29T16:00:00.000,MVAcc,"[-71.12395, 42.256421]",Point,MVAcc,4,MVA,0,E18,First,No,HYDE PARK AV,Other,Unarmed,757969.2324,,2918691.415,2015
