,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
1539,152041317.0,Tuesday,No,2015-05-19T18:30:00.000,OTHER LARCENY,"[0, 0]",Point,06xx,5,LARCEN,0,B2,First,No,MALCOLM X BL,Part One,Unarmed,,,,2015
1578,152040956.0,Tuesday,No,2015-05-19T09:00:00.000,OTHER LARCENY,"[0, 0]",Point,06xx,5,IVPER,0,C11,Day,No,WASHINGTON ST,Part One,Unarmed,,,,2015
1600,152041329.0,Tuesday,No,2015-05-19T12:00:00.000,OTHER LARCENY,"[0, 0]",Point,06xx,5,LARCEN,0,C11,Day,No,DORCHESTER AV,Part One,Unarmed,,,,2015
1610,152041330.0,Tuesday,No,2015-05-19T12:25:00.000,OTHER LARCENY,"[0, 0]",Point,06xx,5,PROP,0,D4,Day,No,DARTMOUTH ST,Part One,Unarmed,,,,2015
1634,152041182.0,Tuesday,No,2015-05-19T15:00:00.000,OTHER LARCENY,"[0, 0]",Point,06xx,5,LARCEN,0,C11,Day,No,WESTVILLE TR,Part One,Unarmed,,,,2015
1636,152041161.0,Tuesday,No,2015-05-19T18:29:00.000,OTHER LARCENY,"[0, 0]",Point,06xx,5,IVPREM,0,E5,First,No,CUMMINS HY,Part One,Unarmed,,,,2015
69125,152041141.0,Tuesday,No,2015-05-19T17:00:00.000,OTHER LARCENY,"[-71.08226, 42.307021]",Point,06xx,5,PROP,0,B2,First,No,WASHINGTON ST,Part One,Unarmed,769164.9518,,2937183.2739999997,2015
83294,152040955.0,Tuesday,No,2015-05-19T09:15:00.000,OTHER LARCENY,"[-71.05582, 42.360091]",Point,06xx,5,ARREST,0,A1,Day,No,FANEUIL HALL SQ,Part One,Unarmed,776216.1627,,2956559.0330000003,2015
115441,152043188.0,Tuesday,No,2015-05-19T15:00:00.000,OTHER LARCENY,"[-71.07538, 42.333949]",Point,06xx,5,PROP,0,D4,Day,No,NORTHAMPTON ST,Part One,Unarmed,770977.0295,,2947005.207,2015
125796,152041110.0,Tuesday,No,2015-05-19T12:00:00.000,OTHER LARCENY,"[-71.077748, 42.348631]",Point,06xx,5,LARCEN,0,D4,Day,No,HUNTINGTON AV,Part One,Other,770310.163,,2952352.43,2015
143556,152043526.0,Tuesday,No,2015-05-19T13:40:00.000,OTHER LARCENY,"[-71.074427, 42.271311]",Point,06xx,5,LARCEN,0,B3,Day,No,RIVER ST,Part One,Unarmed,771348.5999,,2924180.5,2015
144269,152041191.0,Tuesday,No,2015-05-19T19:28:00.000,OTHER LARCENY,"[-71.096413, 42.344914]",Point,06xx,5,LARCEN,0,D4,First,No,BOYLSTON ST,Part One,Unarmed,765271.056,,2950973.562,2015
152506,152040912.0,Tuesday,No,2015-05-19T00:47:00.000,OTHER LARCENY,"[-71.071643, 42.290556]",Point,06xx,5,ROBBER,0,C11,Last,No,WASHINGTON ST,Part One,Unarmed,772066.839,,2931197.369,2015
157132,152042129.0,Tuesday,No,2015-05-19T08:00:00.000,OTHER LARCENY,"[-71.100235, 42.334626]",Point,06xx,5,LARCEN,0,B2,Day,No,ST ALPHONSUS ST,Part One,Other,764255.6256,,2947219.71,2015
178391,152041118.0,Tuesday,No,2015-05-19T15:55:00.000,OTHER LARCENY,"[-71.106295, 42.307636]",Point,06xx,5,ARREST,0,E13,Day,No,WASHINGTON ST,Part One,Unarmed,762662.5281,,2937376.465,2015
223121,152041688.0,Tuesday,No,2015-05-19T01:45:00.000,OTHER LARCENY,"[-71.060554, 42.364937]",Point,06xx,5,ADMRPT,0,A1,Last,No,CANAL ST,Part One,Unarmed,774927.5836,,2958318.224,2015
230733,152041216.0,Tuesday,No,2015-05-19T21:25:00.000,OTHER LARCENY,"[-71.11069, 42.324233]",Point,06xx,5,LARCEN,0,E13,First,No,EVERGREEN ST,Part One,Other,761446.0413,,2943419.0930000003,2015
250121,152041429.0,Tuesday,No,2015-05-19T11:09:00.000,OTHER LARCENY,"[-71.15578, 42.264688]",Point,06xx,5,PROP,0,E5,Day,No,ROCKINGHAM AV,Part One,Unarmed,749340.247,,2921667.5330000003,2015
252565,152041130.0,Tuesday,No,2015-05-19T16:20:00.000,OTHER LARCENY,"[-71.08691, 42.280196]",Point,06xx,5,LARCEN,0,B3,First,No,ASTORIA ST,Part One,Unarmed,767954.4837,,2927401.7189999996,2015
256114,152041415.0,Tuesday,No,2015-05-19T17:10:00.000,OTHER LARCENY,"[-71.087705, 42.340771]",Point,06xx,5,PROP,0,D4,First,No,HUNTINGTON AV,Part One,Unarmed,767632.6471,,2949475.187,2015
256823,152041627.0,Tuesday,No,2015-05-19T19:00:00.000,OTHER LARCENY,"[-71.11156, 42.317276]",Point,06xx,5,PROP,0,E13,First,No,SPRING PARK AV,Part One,Unarmed,761222.3807,,2940882.915,2015
257939,152041287.0,Tuesday,No,2015-05-19T21:00:00.000,OTHER LARCENY,"[-71.119079, 42.351603]",Point,06xx,5,LARCEN,0,D14,First,No,COMMONWEALTH AV,Part One,Unarmed,759132.7976,,2953383.027,2015
