,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
2851,152048477.0,Thursday,No,2015-06-11T15:02:00.000,InvPer,"[0, 0]",Point,InvPer,6,MISSIN,0,E13,Day,No,CENTRE ST,Part three,Unarmed,,,,2015
2857,152048259.0,Thursday,No,2015-06-11T01:16:00.000,InvPer,"[0, 0]",Point,InvPer,6,SS,0,A1,Last,No,TERMINAL ST,Part three,Unarmed,,,,2015
2864,152048435.0,Thursday,No,2015-06-11T16:30:00.000,InvPer,"[0, 0]",Point,InvPer,6,ALARM,0,C6,First,No,E 6TH ST,Part three,Unarmed,,,,2015
2936,152048673.0,Thursday,No,2015-06-11T01:04:00.000,InvPer,"[0, 0]",Point,InvPer,6,IVPER,0,B2,Last,No,WALNUT AV,Part three,Unarmed,,HUMBOLDT AV,,2015
4099,152048239.0,Thursday,No,2015-06-11T01:15:00.000,InvPer,"[0, 0]",Point,InvPer,6,SHOTS,0,C6,Last,No,TERMINAL ST,Part three,Unarmed,,,,2015
6476,152048646.0,Thursday,No,2015-06-11T15:00:00.000,InvPer,"[-71.076668, 42.346397]",Point,InvPer,6,IVPER,0,D4,Day,No,YARMOUTH PL,Part three,Unarmed,770606.1059999999,,2951539.878,2015
11319,152048359.0,Thursday,No,2015-06-11T12:10:00.000,InvPer,"[-71.077495, 42.338971]",Point,InvPer,6,IVPER,0,D4,Day,No,WORCESTER ST,Part three,Unarmed,770396.195,,2948832.742,2015
24504,152048325.0,Thursday,No,2015-06-11T09:03:00.000,InvPer,"[-71.05629, 42.376841]",Point,InvPer,6,DISTRB,0,A15,Day,No,VINE ST,Part three,Unarmed,776057.3832,,2962662.4080000003,2015
36555,152048265.0,Thursday,No,2015-06-11T01:25:00.000,InvPer,"[-71.098055, 42.282351]",Point,InvPer,6,IVPER,0,B3,Last,No,HAZELTON ST,Part three,Unarmed,764934.8162,,2928172.3910000003,2015
41606,152048355.0,Thursday,No,2015-06-11T11:30:00.000,InvPer,"[-71.063106, 42.355355]",Point,InvPer,6,IVPER,0,A1,Day,No,TREMONT ST,Part three,Unarmed,774255.6857,,2954822.79,2015
51716,152048343.0,Thursday,No,2015-06-11T11:20:00.000,InvPer,"[-71.132675, 42.289161]",Point,InvPer,6,PRSCRM,0,E5,Day,No,TAPPAN ST,Part three,Unarmed,755555.8763,,2930612.045,2015
89672,152048354.0,Thursday,No,2015-06-11T11:52:00.000,InvPer,"[-71.114273, 42.311901]",Point,InvPer,6,LARCEN,0,E13,Day,No,CENTRE ST,Part three,Unarmed,760497.2545,,2938920.7630000003,2015
90317,152048537.0,Thursday,No,2015-06-11T20:40:00.000,InvPer,"[-71.008436, 42.39263]",Point,InvPer,6,IVPER,0,A7,First,No,VALLAR RD,Part three,Unarmed,788954.13,,2968486.8839999996,2015
105214,152048494.0,Thursday,No,2015-06-11T18:50:00.000,InvPer,"[-71.061415, 42.378571]",Point,InvPer,6,PERGUN,0,A15,First,No,BUNKER HILL ST,Part three,Firearm,774669.3774,,2963285.6939999997,2015
130367,152048267.0,Thursday,No,2015-06-11T01:25:00.000,InvPer,"[-71.06942, 42.362401]",Point,InvPer,6,ASSTPO,0,A1,Last,No,FRUIT ST,Part three,Unarmed,772536.2528,,2957381.922,2015
227218,152048559.0,Thursday,No,2015-06-11T11:25:00.000,InvPer,"[-71.078421, 42.284653]",Point,InvPer,6,IVPER,0,B3,Day,No,THETFORD AV,Part three,Unarmed,770243.5782,,2929036.869,2015
241129,152048493.0,Thursday,No,2015-06-11T19:00:00.000,InvPer,"[-71.087625, 42.325776]",Point,InvPer,6,IVPER,0,B2,First,No,HOMMAGEN CT,Part three,Unarmed,767680.6942,,2944010.845,2015
248790,152048322.0,Thursday,No,2015-06-11T07:40:00.000,InvPer,"[-71.043165, 42.318831]",Point,InvPer,6,IVPER,0,C6,Day,No,HARBOR POINT BL,Part three,Unarmed,779716.9513,,2941541.235,2015
