,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
3064,152049421.0,Sunday,No,2015-06-14T20:27:00.000,InvProp,"[0, 0]",Point,InvProp,6,SSA,0,B3,First,No,WESTVILLE ST,Part three,Unarmed,,AMES ST,,2015
3099,152049515.0,Sunday,No,2015-06-14T10:00:00.000,InvProp,"[0, 0]",Point,InvProp,6,CD9,0,A1,Day,No,VINE ST,Part three,Unarmed,,CHELMSFORD ST,,2015
13163,152049205.0,Sunday,No,2015-06-14T01:02:00.000,InvProp,"[-71.070829, 42.312348]",Point,InvProp,6,SHOTS,0,B2,Last,No,BAKER ST,Part three,Unarmed,772247.0024,QUINCY ST,2939139.7610000004,2015
13881,152049409.0,Sunday,No,2015-06-14T18:27:00.000,InvProp,"[-71.078225, 42.325198]",Point,InvProp,6,REQP,0,B2,First,No,FAIRLAND ST,Part three,Unarmed,770223.47,,2943812.633,2015
25789,152049236.0,Sunday,No,2015-06-14T07:30:00.000,InvProp,"[-71.068595, 42.358406]",Point,InvProp,6,CD9,0,A1,Day,No,LOUISBURG SQ,Part three,Unarmed,772766.5761,,2955927.264,2015
84582,152049230.0,Sunday,No,2015-06-14T06:27:00.000,InvProp,"[-71.085215, 42.283961]",Point,InvProp,6,SSA,0,B3,Last,No,MOUNTAIN AV,Part three,Unarmed,768406.4992,,2928775.963,2015
90873,152049194.0,Sunday,No,2015-06-14T01:04:00.000,InvProp,"[-71.06551, 42.289921]",Point,InvProp,6,SHOTS,0,C11,Last,No,MELBOURNE ST,Part three,Other,773727.5092,WELLES AV,2930974.416,2015
151456,152049512.0,Sunday,No,2015-06-14T06:00:00.000,InvProp,"[-71.091325, 42.284861]",Point,InvProp,6,PROP,0,B3,Last,No,BLUE HILL AV,Part three,Unarmed,766751.5911,,2929095.955,2015
163874,152049221.0,Sunday,No,2015-06-14T04:20:00.000,InvProp,"[-71.08181, 42.29754]",Point,InvProp,6,SHOTS,0,B3,Last,No,GLEASON ST,Part three,Other,769303.5968,,2933728.817,2015
184837,152049283.0,Sunday,No,2015-06-14T11:00:00.000,InvProp,"[-71.098625, 42.346181]",Point,InvProp,6,CD9,0,D4,Day,No,YAWKEY WY,Part three,Unarmed,764671.1215,,2951432.6119999997,2015
196170,152049222.0,Sunday,No,2015-06-14T04:57:00.000,InvProp,"[-71.112473, 42.284129]",Point,InvProp,6,IVPREM,0,E18,Last,No,AMERICAN LEGION HY,Part three,Unarmed,761030.2325,,2928802.473,2015
234290,152049348.0,Sunday,No,2015-06-14T14:47:00.000,InvProp,"[-71.048671, 42.331044]",Point,InvProp,6,LARCEN,0,C6,Day,No,CARMODY CT,Part three,Other,778204.1614,,2945983.887,2015
249457,152049312.0,Sunday,No,2015-06-14T00:05:00.000,InvProp,"[-71.089115, 42.345331]",Point,InvProp,6,DISTRB,0,D4,Last,No,NORWAY ST,Part three,Unarmed,767243.4458,,2951135.097,2015
