,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
25026,,Thursday,No,2015-06-18T00:00:00.000,Police Service Incidents,"[-71.091878, 42.333679]",Point,Service,6,IVPER,289,B2,,No,SCHROEDER PLZ,Part Three,None,766517.0,,2950000.0,2015
33991,,Thursday,No,2015-06-18T00:00:00.000,Police Service Incidents,"[-71.054679, 42.341288]",Point,Service,6,CD11,200,C6,,No,W BROADWAY,Part Three,None,776560.0,,2950000.0,2015
35828,,Thursday,No,2015-06-18T18:33:00.000,Police Service Incidents,"[0, 0]",Point,Service,6,ARREST,329,B2,,No,DEVON ST,Part Three,Blunt Object,,NORMANDY ST,,2015
48512,,Thursday,No,2015-06-18T00:00:00.000,Police Service Incidents,"[-71.095968, 42.321406]",Point,Service,6,CD11,304,B2,,No,WEAVER WAY,Part Three,None,765432.0,,2940000.0,2015
48513,,Thursday,No,2015-06-18T00:00:00.000,Police Service Incidents,"[-71.095968, 42.321406]",Point,Service,6,CD11,304,B2,,No,WEAVER WAY,Part Three,None,765432.0,,2940000.0,2015
49494,,Thursday,No,2015-06-18T00:00:00.000,Police Service Incidents,"[-71.075663, 42.309847]",Point,Service,6,ARREST,328,B2,,No,INTERVALE ST,Part Three,None,770944.0,,2940000.0,2015
51232,,Thursday,No,2015-06-18T00:00:00.000,Police Service Incidents,"[-71.072425, 42.32197]",Point,Service,6,CD11,262,B2,,No,DUDLEY ST,Part Three,None,771798.0,,2940000.0,2015
54550,,Thursday,No,2015-06-18T05:04:00.000,Police Service Incidents,"[0, 0]",Point,Service,6,CD11,334,C11,,No,HOWE ST,Part Three,None,,,,2015
56104,,Thursday,No,2015-06-18T00:00:00.000,Police Service Incidents,"[-71.06134, 42.310434]",Point,Service,6,IVPREM,289,B2,,No,SCHROEDER PLZ,Part Three,None,774817.0,,2940000.0,2015
64866,,Thursday,No,2015-06-18T00:00:00.000,Police Service Incidents,"[-71.078694, 42.298284]",Point,Service,6,CD11,446,B3,,No,NORWELL ST,Part Three,None,770145.0,,2930000.0,2015
82612,,Thursday,No,2015-06-18T00:00:00.000,Police Service Incidents,"[-71.048138, 42.289714]",Point,Service,6,ARREST,374,C11,,No,NEPONSET AVE,Part Three,None,778428.0,,2930000.0,2015
86110,,Thursday,No,2015-06-18T00:00:00.000,Police Service Incidents,"[-71.106213, 42.333021]",Point,Service,6,,604,B2,,No,WAIT ST,Part Three,None,762642.0,,2950000.0,2015
93800,,Thursday,No,2015-06-18T00:00:00.000,Police Service Incidents,"[-71.060551, 42.318514]",Point,Service,6,IVPER,240,C11,,No,DAWES ST,Part Three,None,775015.0,,2940000.0,2015
98116,,Thursday,No,2015-06-18T00:00:00.000,Police Service Incidents,"[-71.080519, 42.326968]",Point,Service,6,CD11,281,B2,,No,GREENVILLE ST,Part Three,None,769600.0,,2940000.0,2015
99276,,Thursday,No,2015-06-18T00:00:00.000,Police Service Incidents,"[-71.091878, 42.333679]",Point,Service,6,CD11,289,B2,,No,CENTRE ST,Part Three,None,766517.0,,2950000.0,2015
99580,,Thursday,No,2015-06-18T00:00:00.000,Police Service Incidents,"[-71.091878, 42.333679]",Point,Service,6,ARREST,289,B2,,No,SCHROEDER PLZ,Part Three,None,766517.0,,2950000.0,2015
99581,,Thursday,No,2015-06-18T00:00:00.000,Police Service Incidents,"[-71.091878, 42.333679]",Point,Service,6,ARREST,289,B2,,No,SCHROEDER PLZ,Part Three,None,766517.0,,2950000.0,2015
99582,,Thursday,No,2015-06-18T00:00:00.000,Police Service Incidents,"[-71.091878, 42.333679]",Point,Service,6,ARREST,289,B2,,No,SCHROEDER PLZ,Part Three,None,766517.0,,2950000.0,2015
99583,,Thursday,No,2015-06-18T00:00:00.000,Police Service Incidents,"[-71.091878, 42.333679]",Point,Service,6,ARREST,289,B2,,No,SCHROEDER PLZ,Part Three,None,766517.0,,2950000.0,2015
100259,,Thursday,No,2015-06-18T00:00:00.000,Police Service Incidents,"[-71.091374, 42.284826]",Point,Service,6,ARREST,465,B3,,No,BLUE HILL AVE,Part Three,Firearm,766738.0,,2930000.0,2015
101371,,Thursday,No,2015-06-18T00:00:00.000,Police Service Incidents,"[-71.091878, 42.333679]",Point,Service,6,ARREST,289,B2,,No,TARA RD,Part Three,None,766517.0,,2950000.0,2015
103144,,Thursday,No,2015-06-18T17:23:00.000,Police Service Incidents,"[0, 0]",Point,Service,6,ARREST,111,A1,,No,BOYLSTON ST,Part Three,None,, WASHINGTON ST ,,2015
104175,,Thursday,No,2015-06-18T00:00:00.000,Police Service Incidents,"[-71.086541, 42.271279]",Point,Service,6,CD11,423,B3,,No,BRIARCLIFF TER,Part Three,None,768070.0,,2920000.0,2015
107919,,Thursday,No,2015-06-18T00:00:00.000,Police Service Incidents,"[-71.091878, 42.333679]",Point,Service,6,CD11,289,B2,,No,TARA DR,Part Three,None,766517.0,,2950000.0,2015
130810,,Thursday,No,2015-06-18T00:00:00.000,Police Service Incidents,"[-71.091878, 42.333679]",Point,Service,6,CD11,289,B2,,No,SCHROEDER PLZ,Part Three,None,766517.0,,2950000.0,2015
130811,,Thursday,No,2015-06-18T00:00:00.000,Police Service Incidents,"[-71.091878, 42.333679]",Point,Service,6,CD11,289,B2,,No,SCHROEDER PLZ,Part Three,None,766517.0,,2950000.0,2015
130812,,Thursday,No,2015-06-18T00:00:00.000,Police Service Incidents,"[-71.091878, 42.333679]",Point,Service,6,CD11,289,B2,,No,SCHROEDER PLZ,Part Three,None,766517.0,,2950000.0,2015
130813,,Thursday,No,2015-06-18T00:00:00.000,Police Service Incidents,"[-71.091878, 42.333679]",Point,Service,6,CD11,289,B2,,No,SCHROEDER PLZ,Part Three,None,766517.0,,2950000.0,2015
144678,,Thursday,No,2015-06-18T00:00:00.000,Police Service Incidents,"[-71.078694, 42.298284]",Point,Service,6,ARREST,446,B3,,No,NORWELL ST,Part Three,None,770145.0,,2930000.0,2015
153447,,Thursday,No,2015-06-18T00:00:00.000,Police Service Incidents,"[-71.093775, 42.282951]",Point,Service,6,ARREST,466,B3,,No,ORMOND ST,Part Three,None,766092.0,,2930000.0,2015
175196,,Thursday,No,2015-06-18T00:00:00.000,Police Service Incidents,"[-71.091878, 42.333679]",Point,Service,6,AOD,289,B2,,No,SCHROEDER PLZ,Part Three,None,766517.0,,2950000.0,2015
175687,,Thursday,No,2015-06-18T00:00:00.000,Police Service Incidents,"[-71.091878, 42.333679]",Point,Service,6,ARREST,482,B3,,No,EDGEWATER RD,Part Three,None,766517.0,,2950000.0,2015
184790,,Thursday,No,2015-06-18T00:00:00.000,Police Service Incidents,"[-71.093887, 42.31275]",Point,Service,6,ARREST,316,B2,,No,SEAVER ST,Part Three,None,766010.0,,2940000.0,2015
191496,,Thursday,No,2015-06-18T00:00:00.000,Police Service Incidents,"[-71.118328, 42.279696]",Point,Service,6,CD11,501,E18,,No,CUMMINS HWY,Part Three,Firearm,759453.0,,2930000.0,2015
191929,,Thursday,No,2015-06-18T00:00:00.000,Police Service Incidents,"[-71.085634, 42.328663]",Point,Service,6,IVPER,282,B2,,No,WASHINGTON ST,Part Three,None,768214.0,,2950000.0,2015
217868,,Thursday,No,2015-06-18T11:05:00.000,Police Service Incidents,"[0, 0]",Point,Service,6,ARREST,174,C6,,No,ELLERY ST,Part Three,None,,SOUTHAMPTON ST,,2015
222191,,Thursday,No,2015-06-18T00:00:00.000,Police Service Incidents,"[-71.07234, 42.276805]",Point,Service,6,CD11,414,B3,,No,PLEASANT HILL AVE,Part Three,None,771903.0,,2930000.0,2015
225873,,Thursday,No,2015-06-18T00:00:00.000,Police Service Incidents,"[-71.090399, 42.313598]",Point,Service,6,CD11,316,B2,,No,CRAWFORD ST,Part Three,None,766952.0,,2940000.0,2015
236723,,Thursday,No,2015-06-18T00:00:00.000,Police Service Incidents,"[-71.082999, 42.27133]",Point,Service,6,CD11,422,B3,,No,RIVER ST,Part Three,None,769029.0,,2920000.0,2015
247427,,Thursday,No,2015-06-18T05:00:00.000,Police Service Incidents,"[0, 0]",Point,Service,6,CD11,289,B2,,No,SCHROEDER PLZ,Part Three,None,,,,2015
247897,,Thursday,No,2015-06-18T00:00:00.000,Police Service Incidents,"[-71.038606, 42.318553]",Point,Service,6,CD11,913,C6,,No,OCEAN VIEW DR,Part Three,None,780950.0,,2940000.0,2015
256439,,Thursday,No,2015-06-18T00:00:00.000,Police Service Incidents,"[-71.088669, 42.343765]",Point,Service,6,ARREST,619,D4,,No,WESTLAND AVE,Part Three,None,767367.0,,2950000.0,2015
