,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
6719,,Thursday,No,2015-06-18T16:15:00.000,Residential Burglary,"[0, 0]",Point,05RB,6,BE,404,C11,,No,DORCHESTER AVE,Part One,None,,,,2015
16683,,Thursday,No,2015-06-18T00:00:00.000,Residential Burglary,"[-71.115715, 42.305368]",Point,05RB,6,,946,E13,,No,METCALF CT,Part One,None,760118.0,,2940000.0,2015
23914,,Thursday,No,2015-06-18T00:00:00.000,Residential Burglary,"[-71.111088, 42.248177]",Point,05RB,6,BE,514,E18,,No,PROSPECT ST,Part One,None,761465.0,,2920000.0,2015
153428,,Thursday,No,2015-06-18T00:00:00.000,Residential Burglary,"[-71.100037, 42.319695]",Point,05RB,6,BE,303,E13,,No,AMORY ST,Part One,None,764334.0,,2940000.0,2015
186725,,Thursday,No,2015-06-18T00:00:00.000,Residential Burglary,"[-71.073207, 42.292442]",Point,05RB,6,IVPER,450,B3,,No,ROSEDALE ST,Part One,None,771640.0,,2930000.0,2015
188186,,Thursday,No,2015-06-18T00:00:00.000,Residential Burglary,"[-71.143104, 42.351052]",Point,05RB,6,BE,783,D14,,No,RIDGEMONT ST,Part One,None,752640.0,,2950000.0,2015
199951,,Thursday,No,2015-06-18T00:00:00.000,Residential Burglary,"[-71.103691, 42.346974]",Point,05RB,6,BE,629,D4,,No,BEACON ST,Part One,None,763300.0,,2950000.0,2015
220418,,Thursday,No,2015-06-18T00:00:00.000,Residential Burglary,"[-71.09223, 42.286889]",Point,05RB,6,IVPER,465,B3,,No,WILCOCK ST,Part One,None,766503.0,,2930000.0,2015
221743,,Thursday,No,2015-06-18T00:00:00.000,Residential Burglary,"[-71.062096, 42.313676]",Point,05RB,6,BE,823,C11,,No,SALCOMBE ST,Part One,None,774607.0,,2940000.0,2015
224318,,Thursday,No,2015-06-18T00:00:00.000,Residential Burglary,"[-71.11894, 42.293967]",Point,05RB,6,BE,941,E5,,No,BROOKWAY RD,Part One,None,759264.0,,2930000.0,2015
226971,,Thursday,No,2015-06-18T00:00:00.000,Residential Burglary,"[-71.10254, 42.331286]",Point,05RB,6,BE,603,B2,,No,SAINT ALPHONSUS ST,Part One,None,763638.0,,2950000.0,2015
235435,,Thursday,No,2015-06-18T00:00:00.000,Residential Burglary,"[-71.041551, 42.369674]",Point,05RB,6,BE,27,A7,,No,SUMNER ST,Part One,None,780054.0,,2960000.0,2015
