,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
5740,,Wednesday,No,2015-06-24T00:00:00.000,Motor Vehicle Accident Response,"[-71.138525, 42.355954]",Point,MVAcc,6,MVA,804,D14,,No,EVERETT ST,Part Three,None,753870.0,,2950000.0,2015
6941,,Wednesday,No,2015-06-24T00:00:00.000,Motor Vehicle Accident Response,"[-71.059281, 42.279345]",Point,MVAcc,6,MVA,389,C11,,No,ADAMS ST,Part Three,None,775433.0,,2930000.0,2015
18125,,Wednesday,No,2015-06-24T00:00:00.000,Motor Vehicle Accident Response,"[-71.060849, 42.356989]",Point,MVAcc,6,MVA,102,A1,,No,BROMFIELD ST,Part Three,None,774863.0,,2960000.0,2015
29675,,Wednesday,No,2015-06-24T00:00:00.000,Motor Vehicle Accident Response,"[-71.127735, 42.27786]",Point,MVAcc,6,MVA,557,E5,,No,METROPOLITAN AVE,Part Three,None,756910.0,,2930000.0,2015
37650,,Wednesday,No,2015-06-24T13:30:00.000,Motor Vehicle Accident Response,"[0, 0]",Point,MVAcc,6,MVA,796,D14,,No,BRIGHTON AVE,Part Three,None,, LINDEN ST ,,2015
40234,,Wednesday,No,2015-06-24T20:03:00.000,Motor Vehicle Accident Response,"[0, 0]",Point,MVAcc,6,MVA,646,E13,,No,CENTRE ST,Part Three,None,, SOUTH ST ,,2015
54183,,Wednesday,No,2015-06-24T00:00:00.000,Motor Vehicle Accident Response,"[-71.059656, 42.293312]",Point,MVAcc,6,MVA,363,C11,,No,WHITTEN ST,Part Three,None,775305.0,,2930000.0,2015
59125,,Wednesday,No,2015-06-24T00:00:00.000,Motor Vehicle Accident Response,"[-71.01688, 42.382342]",Point,MVAcc,6,MVA,14,A7,,No,HORACE ST,Part Three,None,786694.0,,2960000.0,2015
65835,,Wednesday,No,2015-06-24T00:00:00.000,Motor Vehicle Accident Response,"[-71.136453, 42.348357]",Point,MVAcc,6,MVA,794,D14,,No,COMMONWEALTH AVE,Part Three,None,754442.0,,2950000.0,2015
69090,,Wednesday,No,2015-06-24T00:00:00.000,Motor Vehicle Accident Response,"[-71.128282, 42.284943]",Point,MVAcc,6,MVA,560,E5,,No,FLORENCE ST,Part Three,None,756751.0,,2930000.0,2015
69778,,Wednesday,No,2015-06-24T00:00:00.000,Motor Vehicle Accident Response,"[-71.089041, 42.295054]",Point,MVAcc,6,MVA,908,B3,,No,SHANDON RD,Part Three,None,767352.0,,2930000.0,2015
70076,,Wednesday,No,2015-06-24T11:08:00.000,Motor Vehicle Accident Response,"[0, 0]",Point,MVAcc,6,MVA,441,B3,,No,HARVARD ST,Part Three,None,,WALES ST,,2015
83120,,Wednesday,No,2015-06-24T00:00:00.000,Motor Vehicle Accident Response,"[-71.13022, 42.279986]",Point,MVAcc,6,PROP,559,E5,,No,AUGUSTUS AVE,Part Three,None,756234.0,,2930000.0,2015
85790,,Wednesday,No,2015-06-24T00:00:00.000,Motor Vehicle Accident Response,"[-71.136995, 42.293587]",Point,MVAcc,6,MVA,674,E5,,No,CENTRE ST,Part Three,None,754380.0,,2930000.0,2015
100261,,Wednesday,No,2015-06-24T15:30:00.000,Motor Vehicle Accident Response,"[0, 0]",Point,MVAcc,6,MVA,163,D4,,No,BRADFORD ST,Part Three,None,,WALTHAM ST,,2015
