,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
18562,,Saturday,No,2015-06-27T00:00:00.000,Larceny From Motor Vehicle,"[-71.072668, 42.353174]",Point,06MV,6,BE,132,D4,,No,COMMONWEALTH AVE,Part One,None,771675.0,,2950000.0,2015
67751,,Saturday,No,2015-06-27T22:00:00.000,Larceny From Motor Vehicle,"[0, 0]",Point,06MV,6,IVMV,309,B2,,No,MARTIN LUTHER KING JR BLVD,Part One,None,,,,2015
89025,,Saturday,No,2015-06-27T00:00:00.000,Larceny From Motor Vehicle,"[-71.036496, 42.338127]",Point,06MV,6,BE,222,C6,,No,E FIRST ST,Part One,None,781482.0,,2950000.0,2015
90606,,Saturday,No,2015-06-27T00:00:00.000,Larceny From Motor Vehicle,"[-71.031854, 42.334004]",Point,06MV,6,BE,231,C6,,No,E FIFTH ST,Part One,None,782746.0,,2950000.0,2015
105047,,Saturday,No,2015-06-27T00:00:00.000,Larceny From Motor Vehicle,"[-71.092184, 42.286313]",Point,06MV,6,BE,465,B3,,No,HAVELOCK ST,Part One,None,766516.0,,2930000.0,2015
110294,,Saturday,No,2015-06-27T00:00:00.000,Larceny From Motor Vehicle,"[-71.165336, 42.282648]",Point,06MV,6,BE,731,E5,,No,TEMPLE ST,Part One,None,746728.0,,2930000.0,2015
123617,,Saturday,No,2015-06-27T00:00:00.000,Larceny From Motor Vehicle,"[-71.075915, 42.313322]",Point,06MV,6,,326,B2,,No,QUINCY ST,Part One,None,770870.0,,2940000.0,2015
126218,,Saturday,No,2015-06-27T00:00:00.000,Larceny From Motor Vehicle,"[-71.075089, 42.352913]",Point,06MV,6,BE,132,D4,,No,COMMONWEALTH AVE,Part One,None,771021.0,,2950000.0,2015
139427,,Saturday,No,2015-06-27T00:00:00.000,Larceny From Motor Vehicle,"[-71.075846, 42.31399]",Point,06MV,6,BE,325,B2,,No,WAYLAND ST,Part One,None,770887.0,,2940000.0,2015
161693,,Saturday,No,2015-06-27T00:00:00.000,Larceny From Motor Vehicle,"[-71.070743, 42.359132]",Point,06MV,6,BE,66,A1,,No,CHARLES ST,Part One,None,772185.0,,2960000.0,2015
222070,,Saturday,No,2015-06-27T00:00:00.000,Larceny From Motor Vehicle,"[-71.129457, 42.280633]",Point,06MV,6,VAND,557,E5,,No,AUGUSTUS AVE,Part One,None,756440.0,,2930000.0,2015
240753,,Saturday,No,2015-06-27T00:00:00.000,Larceny From Motor Vehicle,"[-71.053308, 42.336706]",Point,06MV,6,BE,215,C6,,No,D ST,Part One,None,776940.0,,2950000.0,2015
