,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
4588,,Tuesday,No,2015-06-30T00:00:00.000,Larceny From Motor Vehicle,"[-71.076397, 42.3131]",Point,06MV,6,IVMV,326,B2,,No,PERTH ST,Part One,None,770740.0,,2940000.0,2015
10893,,Tuesday,No,2015-06-30T00:00:00.000,Larceny From Motor Vehicle,"[-71.092312, 42.281259]",Point,06MV,6,BE,428,B3,,No,BLUE HILL AVE,Part One,None,766491.0,,2930000.0,2015
29547,,Tuesday,No,2015-06-30T00:00:00.000,Larceny From Motor Vehicle,"[-71.090918, 42.304638]",Point,06MV,6,,570,E13,,No,GLEN RD,Part One,None,766827.0,,2940000.0,2015
40584,,Tuesday,No,2015-06-30T00:00:00.000,Larceny From Motor Vehicle,"[-71.141822, 42.293356]",Point,06MV,6,,678,E5,,No,WELD ST,Part One,None,753074.0,,2930000.0,2015
44280,,Tuesday,No,2015-06-30T00:00:00.000,Larceny From Motor Vehicle,"[-71.075824, 42.335621]",Point,06MV,6,VAND,170,D4,,No,MASSACHUSETTS AVE,Part One,None,770854.0,,2950000.0,2015
84106,,Tuesday,No,2015-06-30T00:07:00.000,Larceny From Motor Vehicle,"[0, 0]",Point,06MV,6,ARREST,235,C11,,No,MOSELEY ST,Part One,None,,SYDNEY ST,,2015
105808,,Tuesday,No,2015-06-30T00:00:00.000,Larceny From Motor Vehicle,"[-71.049501, 42.335334]",Point,06MV,6,BE,214,C6,,No,F ST,Part One,None,777972.0,,2950000.0,2015
117814,,Tuesday,No,2015-06-30T00:00:00.000,Larceny From Motor Vehicle,"[-71.08912, 42.290983]",Point,06MV,6,VAND,439,B3,,No,BLUE HILL AVE,Part One,None,767337.0,,2930000.0,2015
118808,,Tuesday,No,2015-06-30T00:00:00.000,Larceny From Motor Vehicle,"[-71.073473, 42.33183]",Point,06MV,6,BE,179,D4,,No,MELNEA CASS BLVD,Part One,None,771497.0,,2950000.0,2015
146906,,Tuesday,No,2015-06-30T00:00:00.000,Larceny From Motor Vehicle,"[-71.051199, 42.373675]",Point,06MV,6,BE,38,A15,,No,EIGHTH ST,Part One,None,777439.0,,2960000.0,2015
176195,,Tuesday,No,2015-06-30T00:00:00.000,Larceny From Motor Vehicle,"[-71.069812, 42.282481]",Point,06MV,6,IVPER,403,C11,,No,FULLER ST,Part One,None,772577.0,,2930000.0,2015
207314,,Tuesday,No,2015-06-30T07:30:00.000,Larceny From Motor Vehicle,"[0, 0]",Point,06MV,6,BE,120,D4,,No,ARLINGTON ST,Part One,None,,PROVIDENCE ST,,2015
258451,,Tuesday,No,2015-06-30T00:00:00.000,Larceny From Motor Vehicle,"[-71.154219, 42.356205]",Point,06MV,6,,768,D14,,No,GOODENOUGH ST,Part One,None,749628.0,,2960000.0,2015
