,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
19141,,Monday,No,2015-07-06T00:00:00.000,Fraud,"[-71.064485, 42.314416]",Point,11xx,7,,257,C11,,No,CUSHING AVE,Part Two,None,773959.0,,2940000.0,2015
70050,,Monday,No,2015-07-06T00:00:00.000,Fraud,"[-71.068548, 42.341755]",Point,11xx,7,,164,D4,,No,WASHINGTON ST,Part Two,None,772810.0,,2950000.0,2015
94600,,Monday,No,2015-07-06T00:00:00.000,Fraud,"[-71.078941, 42.383351]",Point,11xx,7,IVPER,50,A15,,No,PARKER ST,Part Two,None,769925.0,,2970000.0,2015
113254,,Monday,No,2015-07-06T00:00:00.000,Fraud,"[-71.057947, 42.356741]",Point,11xx,7,,98,A1,,No,MILK ST,Part Two,None,775648.0,,2960000.0,2015
113255,,Monday,No,2015-07-06T00:00:00.000,Fraud,"[-71.057947, 42.356741]",Point,11xx,7,,98,A1,,No,MILK ST,Part Two,None,775648.0,,2960000.0,2015
117514,,Monday,No,2015-07-06T00:00:00.000,Fraud,"[-71.118051, 42.310068]",Point,11xx,7,,644,E13,,No,DUNSTER RD,Part Two,None,759479.0,,2940000.0,2015
145282,,Monday,No,2015-07-06T00:00:00.000,Fraud,"[-71.094529, 42.277915]",Point,11xx,7,INVEST,468,B3,,No,WALK HILL ST,Part Two,None,765896.0,,2930000.0,2015
224717,,Monday,No,2015-07-06T00:00:00.000,Fraud,"[-71.08194, 42.282974]",Point,11xx,7,IVPER,434,B3,,No,CROWELL ST,Part Two,None,769294.0,,2930000.0,2015
242355,,Monday,No,2015-07-06T00:00:00.000,Fraud,"[-71.059734, 42.30175]",Point,11xx,7,IVPER,350,C11,,No,DORCHESTER AVE,Part Two,None,775268.0,,2940000.0,2015
244354,,Monday,No,2015-07-06T00:00:00.000,Fraud,"[-71.062899, 42.35123]",Point,11xx,7,IVPER,117,A1,,No,WASHINGTON ST,Part Two,None,774319.0,,2950000.0,2015
