,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
16275,,Monday,No,2015-07-06T00:00:00.000,Verbal Disputes,"[-71.081831, 42.303011]",Point,Argue,7,NIDV,319,B2,,No,NAZING CT,Part Three,None,769288.0,,2940000.0,2015
21907,,Monday,No,2015-07-06T15:23:00.000,Verbal Disputes,"[0, 0]",Point,Argue,7,IVPER,320,B2,,No,WARREN ST,Part Three,None,,WAUMBECK ST,,2015
44580,,Monday,No,2015-07-06T00:00:00.000,Verbal Disputes,"[-71.041204, 42.369044]",Point,Argue,7,IVPER,27,A7,,No,CLIPPER SHIP LN,Part Three,None,780149.0,,2960000.0,2015
68263,,Monday,No,2015-07-06T11:01:00.000,Verbal Disputes,"[0, 0]",Point,Argue,7,DISTRB,309,B2,,No,MARTIN LUTHER KING JR BLVD,Part Three,None,,,,2015
78018,,Monday,No,2015-07-06T00:00:00.000,Verbal Disputes,"[-71.083512, 42.28336]",Point,Argue,7,NIDV,433,B3,,No,NORFOLK ST,Part Three,None,768868.0,,2930000.0,2015
85532,,Monday,No,2015-07-06T00:00:00.000,Verbal Disputes,"[-71.087158, 42.283787]",Point,Argue,7,NIDV,429,B3,,No,WILDWOOD ST,Part Three,None,767881.0,,2930000.0,2015
98387,,Monday,No,2015-07-06T00:00:00.000,Verbal Disputes,"[-71.085088, 42.315085]",Point,Argue,7,IVPER,313,B2,,No,WYOMING ST,Part Three,None,768386.0,,2940000.0,2015
107137,,Monday,No,2015-07-06T00:00:00.000,Verbal Disputes,"[-71.0676, 42.304067]",Point,Argue,7,NIDV,341,C11,,No,SPEEDWELL ST,Part Three,None,773136.0,,2940000.0,2015
150541,,Monday,No,2015-07-06T00:00:00.000,Verbal Disputes,"[-71.074258, 42.30091]",Point,Argue,7,FIGHT,462,C11,,No,BOWDOIN AVE,Part Three,None,771340.0,,2930000.0,2015
164221,,Monday,No,2015-07-06T00:00:00.000,Verbal Disputes,"[-71.09292, 42.314105]",Point,Argue,7,DISTRB,316,B2,,No,RUTHVEN ST,Part Three,None,766269.0,,2940000.0,2015
177137,,Monday,No,2015-07-06T00:00:00.000,Verbal Disputes,"[-71.068607, 42.297034]",Point,Argue,7,NIDV,358,C11,,No,LARCHMONT ST,Part Three,None,772876.0,,2930000.0,2015
181868,,Monday,No,2015-07-06T00:00:00.000,Verbal Disputes,"[-71.065008, 42.313194]",Point,Argue,7,ARMROB,332,C11,,No,HANCOCK ST,Part Three,None,773820.0,,2940000.0,2015
