,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
9074,,Friday,No,2015-07-10T00:00:00.000,Property Lost,"[-71.074346, 42.334219]",Point,PropLost,7,PROP,270,D4,,No,MASSACHUSETTS AVE,Part Three,None,771256.0,,2950000.0,2015
37760,,Friday,No,2015-07-10T00:00:00.000,Property Lost,"[-71.07011, 42.341742]",Point,PropLost,7,PROP,166,D4,,No,UNION PARK ST,Part Three,None,772388.0,,2950000.0,2015
40540,,Friday,No,2015-07-10T18:00:00.000,Property Lost,"[0, 0]",Point,PropLost,7,PROP,91,A1,,No,CROSS ST,Part Three,None,, NORTH ST ,,2015
63035,,Friday,No,2015-07-10T00:00:00.000,Property Lost,"[-71.085634, 42.328663]",Point,PropLost,7,BE,154,D4,,No,RUTLAND SQ,Part Three,None,768214.0,,2950000.0,2015
69654,,Friday,No,2015-07-10T00:00:00.000,Property Lost,"[-71.098717, 42.281841]",Point,PropLost,7,PROP,468,B3,,No,WALK HILL ST,Part Three,None,764756.0,,2930000.0,2015
92508,,Friday,No,2015-07-10T00:00:00.000,Property Lost,"[-71.084296, 42.345778]",Point,PropLost,7,IVPER,143,D4,,No,DALTON ST,Part Three,None,768545.0,,2950000.0,2015
98333,,Friday,No,2015-07-10T20:30:00.000,Property Lost,"[0, 0]",Point,PropLost,7,PROP,120,A1,,No,BOYLSTON ST,Part Three,None,, CHARLES ST S,,2015
145094,,Friday,No,2015-07-10T00:00:00.000,Property Lost,"[-71.076261, 42.350379]",Point,PropLost,7,,134,D4,,No,BOYLSTON ST,Part Three,None,770709.0,,2950000.0,2015
197777,,Friday,No,2015-07-10T00:00:00.000,Property Lost,"[-71.073414, 42.325029]",Point,PropLost,7,PROP,181,B2,,No,WOODWARD AVE,Part Three,None,771525.0,,2940000.0,2015
213172,,Friday,No,2015-07-10T00:00:00.000,Property Lost,"[-71.063488, 42.349973]",Point,PropLost,7,ADMRPT,117,A1,,No,WASHINGTON ST,Part Three,None,774162.0,,2950000.0,2015
224515,,Friday,No,2015-07-10T00:00:00.000,Property Lost,"[-71.074917, 42.335119]",Point,PropLost,7,PROP,171,D4,,No,HARRISON AVE,Part Three,None,771100.0,,2950000.0,2015
