,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
24317,,Saturday,No,2015-07-11T00:00:00.000,Property Lost,"[-71.118975, 42.276635]",Point,PropLost,7,,492,E18,,No,AYLES RD,Part Three,None,759283.0,,2930000.0,2015
47774,,Saturday,No,2015-07-11T00:00:00.000,Property Lost,"[-71.08482, 42.346343]",Point,PropLost,7,,598,D4,,No,DALTON ST,Part Three,None,768403.0,,2950000.0,2015
50998,,Saturday,No,2015-07-11T00:00:00.000,Property Lost,"[-71.055676, 42.361214]",Point,PropLost,7,ADMRPT,93,A1,,No,BLACKSTONE ST,Part Three,None,776253.0,,2960000.0,2015
106792,,Saturday,No,2015-07-11T00:00:00.000,Property Lost,"[-71.056923, 42.360289]",Point,PropLost,7,ADMRPT,93,A1,,No,NORTH ST,Part Three,None,775917.0,,2960000.0,2015
106793,,Saturday,No,2015-07-11T00:00:00.000,Property Lost,"[-71.056923, 42.360289]",Point,PropLost,7,ADMRPT,93,A1,,No,NORTH ST,Part Three,None,775917.0,,2960000.0,2015
113877,,Saturday,No,2015-07-11T00:00:00.000,Property Lost,"[-71.079505, 42.304557]",Point,PropLost,7,,460,C11,,No,WASHINGTON ST,Part Three,None,769914.0,,2940000.0,2015
148670,,Saturday,No,2015-07-11T00:00:00.000,Property Lost,"[-71.063907, 42.287179]",Point,PropLost,7,,959,C11,,No,DORCHESTER AVE,Part Three,None,774166.0,,2930000.0,2015
187908,,Saturday,No,2015-07-11T00:00:00.000,Property Lost,"[-71.068116, 42.350644]",Point,PropLost,7,ADMRPT,125,A1,,No,STUART ST,Part Three,None,772910.0,,2950000.0,2015
226912,,Saturday,No,2015-07-11T00:00:00.000,Property Lost,"[-71.066084, 42.376268]",Point,PropLost,7,BE,58,A15,,No,W SCHOOL ST,Part Three,None,773412.0,,2960000.0,2015
251863,,Saturday,No,2015-07-11T00:00:00.000,Property Lost,"[-71.085634, 42.328663]",Point,PropLost,7,PROP,282,B2,,No,WASHINGTON ST,Part Three,None,768214.0,,2950000.0,2015
