,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
6903,,Sunday,No,2015-07-12T00:00:00.000,Verbal Disputes,"[-71.007939, 42.393273]",Point,Argue,7,NIDV,942,A7,,No,WALDEMAR AVE,Part Three,None,789087.0,,2970000.0,2015
69730,,Sunday,No,2015-07-12T00:00:00.000,Verbal Disputes,"[-71.031762, 42.376709]",Point,Argue,7,IVPER,20,A7,,No,MORRIS ST,Part Three,None,782685.0,,2960000.0,2015
114302,,Sunday,No,2015-07-12T00:00:00.000,Verbal Disputes,"[-71.056725, 42.295064]",Point,Argue,7,DISTRB,364,C11,,No,CENTRE ST,Part Three,None,776095.0,,2930000.0,2015
115076,,Sunday,No,2015-07-12T00:00:00.000,Verbal Disputes,"[-71.076454, 42.28348]",Point,Argue,7,ASLTIP,434,B3,,No,MILTON AVE,Part Three,None,770778.0,,2930000.0,2015
133353,,Sunday,No,2015-07-12T00:00:00.000,Verbal Disputes,"[-71.152747, 42.355553]",Point,Argue,7,NIDV,939,D14,,No,FANEUIL ST,Part Three,None,750026.0,,2950000.0,2015
193984,,Sunday,No,2015-07-12T00:00:00.000,Verbal Disputes,"[-71.061225, 42.311542]",Point,Argue,7,IVPER,257,C11,,No,DOWNER AVE,Part Three,None,774846.0,,2940000.0,2015
196444,,Sunday,No,2015-07-12T00:00:00.000,Verbal Disputes,"[-71.083771, 42.30419]",Point,Argue,7,FIGHT,330,B2,,No,NORMANDY ST,Part Three,None,768761.0,,2940000.0,2015
200091,,Sunday,No,2015-07-12T00:00:00.000,Verbal Disputes,"[-71.057243, 42.302585]",Point,Argue,7,DVIP,350,C11,,No,GRANGER ST,Part Three,None,775940.0,,2940000.0,2015
241919,,Sunday,No,2015-07-12T00:00:00.000,Verbal Disputes,"[-71.061688, 42.299635]",Point,Argue,7,NIDV,356,C11,,No,FAULKNER CIR,Part Three,None,774743.0,,2930000.0,2015
243258,,Sunday,No,2015-07-12T00:00:00.000,Verbal Disputes,"[-71.050036, 42.332168]",Point,Argue,7,NIDV,915,C6,,No,E EIGHTH ST,Part Three,None,777833.0,,2950000.0,2015
243414,,Sunday,No,2015-07-12T12:06:00.000,Verbal Disputes,"[0, 0]",Point,Argue,7,NIDV,434,B3,,No,NORFOLK ST,Part Three,None,,,,2015
