,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
21660,,Tuesday,No,2015-07-14T00:00:00.000,Drug Violation,"[-71.063804, 42.354284]",Point,18xx,7,ARREST,111,A1,,No,TREMONT ST,Part Two,None,774069.0,,2950000.0,2015
21743,,Tuesday,No,2015-07-14T00:00:00.000,Drug Violation,"[-71.091945, 42.314998]",Point,18xx,7,ARREST,314,B2,,No,CRAWFORD ST,Part Two,None,766531.0,,2940000.0,2015
42041,,Tuesday,No,2015-07-14T00:00:00.000,Drug Violation,"[-71.14268, 42.285431]",Point,18xx,7,IVMV,687,E5,,No,REXHAME ST,Part Two,None,752854.0,,2930000.0,2015
109852,,Tuesday,No,2015-07-14T00:00:00.000,Drug Violation,"[-71.070249, 42.325877]",Point,18xx,7,ARREST,0,,,No,,Part Two,None,772379.0,,2940000.0,2015
137806,,Tuesday,No,2015-07-14T00:00:00.000,Drug Violation,"[-71.088068, 42.330567]",Point,18xx,7,TS,289,B2,,No,MALCOLM X BLVD,Part Two,None,767552.0,,2950000.0,2015
193106,,Tuesday,No,2015-07-14T00:00:00.000,Drug Violation,"[-71.040223, 42.337239]",Point,18xx,7,IVPER,221,C6,,No,E SECOND ST,Part Two,None,780476.0,,2950000.0,2015
200389,,Tuesday,No,2015-07-14T00:00:00.000,Drug Violation,"[-71.059709, 42.297555]",Point,18xx,7,IVPREM,355,C11,,No,GIBSON ST,Part Two,None,775283.0,,2930000.0,2015
203431,,Tuesday,No,2015-07-14T00:00:00.000,Drug Violation,"[-71.082999, 42.27133]",Point,18xx,7,TP,485,E18,,No,ALPINE ST,Part Two,None,769029.0,,2920000.0,2015
208350,,Tuesday,No,2015-07-14T16:59:00.000,Drug Violation,"[0, 0]",Point,18xx,7,ARREST,617,D4,,No,AGASSIZ RD,Part Two,None,,PARK DR,,2015
232742,,Tuesday,No,2015-07-14T00:00:00.000,Drug Violation,"[-71.069096, 42.340207]",Point,18xx,7,ARREST,905,D4,,No,MONSIGNOR REYNOLDS WAY,Part Two,None,772664.0,,2950000.0,2015
238456,,Tuesday,No,2015-07-14T00:00:00.000,Drug Violation,"[-71.058612, 42.354874]",Point,18xx,7,IVPREM,111,A1,,No,MASON ST,Part Two,None,775471.0,WEST ST,2950000.0,2015
252835,,Tuesday,No,2015-07-14T15:00:00.000,Drug Violation,"[0, 0]",Point,18xx,7,IVPREM,179,C6,,No, MASSACHUSETTS AVE ,Part Two,None,, MELNEA CASS BLVD ,,2015
252836,,Tuesday,No,2015-07-14T15:00:00.000,Drug Violation,"[0, 0]",Point,18xx,7,IVPREM,179,C6,,No, MASSACHUSETTS AVE ,Part Two,None,, MELNEA CASS BLVD ,,2015
259713,,Tuesday,No,2015-07-14T00:00:00.000,Drug Violation,"[-71.124019, 42.256216]",Point,18xx,7,IVPREM,519,E18,,No,HYDE PARK AVE,Part Two,None,757951.0,,2920000.0,2015
259723,,Tuesday,No,2015-07-14T00:00:00.000,Drug Violation,"[-71.08329, 42.328234]",Point,18xx,7,IVPER,282,B2,,No,WARREN ST,Part Two,None,768849.0,,2940000.0,2015
