,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
6151,,Wednesday,No,2015-07-15T00:00:00.000,Other,"[-71.062131, 42.309988]",Point,OTHER,7,IVPER,338,C11,,No,NAVILLUS TER,Part Two,Firearm,774604.0,,2940000.0,2015
9554,,Wednesday,No,2015-07-15T00:00:00.000,Other,"[-71.039256, 42.380739]",Point,OTHER,7,UNCONS,26,A7,,No,MERIDIAN ST,Part Two,None,780652.0,,2960000.0,2015
34114,,Wednesday,No,2015-07-15T22:06:00.000,Other,"[0, 0]",Point,OTHER,7,BE,0,,,No,FREEPORT ST,Part Two,None,,,,2015
47498,,Wednesday,No,2015-07-15T00:00:00.000,Other,"[-71.057256, 42.298487]",Point,OTHER,7,IVPER,354,C11,,No,ADAMS ST,Part Two,None,775944.0,,2930000.0,2015
79377,,Wednesday,No,2015-07-15T00:00:00.000,Other,"[-71.033027, 42.366383]",Point,OTHER,7,ARREST,33,A7,,No,LAMSON CT,Part Two,None,782364.0,,2960000.0,2015
86084,,Wednesday,No,2015-07-15T00:00:00.000,Other,"[-71.07637, 42.33806]",Point,OTHER,7,IVPER,170,D4,,No,WORCESTER ST,Part Two,None,770702.0,,2950000.0,2015
119470,,Wednesday,No,2015-07-15T00:00:00.000,Other,"[-71.085634, 42.328663]",Point,OTHER,7,IVPER,154,D4,,No,COLUMBUS AVE,Part Two,None,768214.0,,2950000.0,2015
134299,,Wednesday,No,2015-07-15T00:00:00.000,Other,"[-71.101648, 42.324833]",Point,OTHER,7,REQP,916,E13,,No,BICKFORD ST,Part Two,None,763890.0,,2940000.0,2015
142963,,Wednesday,No,2015-07-15T09:33:00.000,Other,"[0, 0]",Point,OTHER,7,IVMV,685,E5,,No,EUGENIA RD,Part Two,None,,,,2015
149954,,Wednesday,No,2015-07-15T00:00:00.000,Other,"[-71.103734, 42.310282]",Point,OTHER,7,NIDV,571,E13,,No,WASHINGTON ST,Part Two,None,763351.0,,2940000.0,2015
156378,,Wednesday,No,2015-07-15T00:00:00.000,Other,"[-71.070144, 42.332108]",Point,OTHER,7,IVPER,175,B2,,No,SOUTHAMPTON ST,Part Two,None,772396.0,,2950000.0,2015
169361,,Wednesday,No,2015-07-15T16:08:00.000,Other,"[0, 0]",Point,OTHER,7,IVPREM,134,D4,,No,BOYLSTON ST,Part Three,None,,CLARENDON ST,,2015
187168,,Wednesday,No,2015-07-15T00:00:00.000,Other,"[-71.118328, 42.279696]",Point,OTHER,7,IVPER,501,E18,,No,CUMMINS HWY,Part Two,None,759453.0,,2930000.0,2015
197112,,Wednesday,No,2015-07-15T00:00:00.000,Other,"[-71.067966, 42.292027]",Point,OTHER,7,IVPER,362,C11,,No,MOULTRIE ST,Part Two,None,773059.0,,2930000.0,2015
218190,,Wednesday,No,2015-07-15T00:00:00.000,Other,"[-71.071452, 42.337903]",Point,OTHER,7,,169,D4,,No,HARRISON AVE,Part Three,None,772032.0,,2950000.0,2015
229810,,Wednesday,No,2015-07-15T00:00:00.000,Other,"[-71.085109, 42.315877]",Point,OTHER,7,LANTEN,313,B2,,No,DECKARD ST,Part Two,None,768379.0,,2940000.0,2015
235722,,Wednesday,No,2015-07-15T00:00:00.000,Other Burglary,"[-71.139044, 42.250695]",Point,05OH,7,IVPER,535,E18,,No,TURTLE POND PKWY,Part One,None,753892.0,,2920000.0,2015
238726,,Wednesday,No,2015-07-15T00:00:00.000,Other,"[-71.124672, 42.25333]",Point,OTHER,7,IVPER,522,E18,,No,HYDE PARK AVE,Part Two,None,757779.0,,2920000.0,2015
250981,,Wednesday,No,2015-07-15T00:00:00.000,Other,"[-71.050711, 42.366904]",Point,OTHER,7,IVPER,0,,,No,BATTERY,Part Two,None,777584.0,BATTERY ST,2960000.0,2015
251295,,Wednesday,No,2015-07-15T00:00:00.000,Other,"[-71.070339, 42.291285]",Point,OTHER,7,IVPER,362,C11,,No,MOULTRIE ST,Part Two,None,772418.0,,2930000.0,2015
