,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
6744,,Tuesday,No,2015-07-21T00:00:00.000,Other,"[-71.053056, 42.327905]",Point,OTHER,7,DISTRB,914,C6,,No,COLONEL MICHAEL J. MCDONOUGH WAY,Part Three,None,777025.0,,2940000.0,2015
9966,,Tuesday,No,2015-07-21T00:00:00.000,Other,"[-71.059774, 42.354081]",Point,OTHER,7,IVPER,113,A1,,No,CHAUNCY ST,Part Two,None,775159.0,,2950000.0,2015
26259,,Tuesday,No,2015-07-21T00:00:00.000,Other,"[-71.085634, 42.328663]",Point,OTHER,7,IVPER,282,B2,,No,WASHINGTON ST,Part Two,None,768214.0,,2950000.0,2015
36479,,Tuesday,No,2015-07-21T00:00:00.000,Other,"[-71.090803, 42.322515]",Point,OTHER,7,PERGUN,305,B2,,No,WASHINGTON ST,Part Two,Firearm,766827.0,,2940000.0,2015
53697,,Tuesday,No,2015-07-21T00:00:00.000,Other,"[-71.088459, 42.34045]",Point,OTHER,7,,283,D4,,No,HUNTINGTON AVE,Part Three,None,767429.0,,2950000.0,2015
63940,,Tuesday,No,2015-07-21T00:00:00.000,Other,"[-71.05533, 42.339621]",Point,OTHER,7,NIDV,936,C6,,No,B ST,Part Two,None,776387.0,,2950000.0,2015
65188,,Tuesday,No,2015-07-21T00:00:00.000,Other,"[-71.11996, 42.273809]",Point,OTHER,7,DISTRB,498,E18,,No,HYDE PARK AVE,Part Two,None,759021.0,,2930000.0,2015
71940,,Tuesday,No,2015-07-21T00:00:00.000,Other,"[-71.070249, 42.325877]",Point,OTHER,7,IVPER,181,B2,,No,NORFOLK AVE,Part Two,None,772379.0,,2940000.0,2015
76334,,Tuesday,No,2015-07-21T00:00:00.000,Other Burglary,"[-71.034397, 42.376227]",Point,05OH,7,BE,22,A7,,No,HAVRE ST,Part One,None,781974.0,,2960000.0,2015
150835,,Tuesday,No,2015-07-21T00:00:00.000,Other,"[-71.087158, 42.283787]",Point,OTHER,7,FIGHT,429,B3,,No,WILDWOOD ST,Part Two,None,767881.0,,2930000.0,2015
166503,,Tuesday,No,2015-07-21T14:00:00.000,Other,"[0, 0]",Point,OTHER,7,IVPER,0,,,No,,Part Two,None,,MALCOLM X BLVD,,2015
176124,,Tuesday,No,2015-07-21T00:00:00.000,Other,"[-71.128592, 42.23628]",Point,OTHER,7,TS,525,E18,,No,NEPONSET VALLEY PKWY,Part Two,None,756744.0,,2910000.0,2015
214843,,Tuesday,No,2015-07-21T00:00:00.000,Other,"[-71.033668, 42.369723]",Point,OTHER,7,DISTRB,30,A7,,No,GOVE ST,Part Two,None,782184.0,,2960000.0,2015
233268,,Tuesday,No,2015-07-21T00:00:00.000,Other,"[-71.070889, 42.302528]",Point,OTHER,7,IVMV,343,C11,,No,HOMES AVE,Part Two,None,772249.0,,2940000.0,2015
256495,,Tuesday,No,2015-07-21T00:00:00.000,Other,"[-71.096083, 42.268948]",Point,OTHER,7,EDP,476,B3,,No,CUMMINS HWY,Part Two,None,765491.0,,2920000.0,2015
