,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
2090,,Monday,No,2015-07-27T20:50:00.000,Violations,"[0, 0]",Point,VAL,7,TS,562,E5,,No,MURRAY HILL RD,Part Two,None,,WASHINGTON ST,,2015
33373,,Monday,No,2015-07-27T00:00:00.000,Firearm Violations,"[-71.091878, 42.333679]",Point,15xx,7,FDWEAP,289,B2,,No,SCHROEDER PLZ,Part Two,Firearm,766517.0,,2950000.0,2015
33486,,Monday,No,2015-07-27T00:00:00.000,Firearm Violations,"[-71.088934, 42.33467]",Point,15xx,7,ARREST,909,B2,,No,TREMONT ST,Part Two,Firearm,767311.0,,2950000.0,2015
36068,,Monday,No,2015-07-27T00:00:00.000,Assembly or Gathering Violations,"[-71.061676, 42.351457]",Point,Gather,7,I00039,117,A1,,No,BEACH ST,Part Three,None,774650.0,,2950000.0,2015
59394,,Monday,No,2015-07-27T00:00:00.000,Violations,"[-71.076179, 42.318041]",Point,VAL,7,TS,324,B2,,No,DACIA ST,Part Two,None,770790.0,,2940000.0,2015
67489,,Monday,No,2015-07-27T00:00:00.000,Violations,"[-71.075522, 42.307824]",Point,VAL,7,TS,337,C11,,No,COLUMBIA RD,Part Two,None,770986.0,,2940000.0,2015
98464,,Monday,No,2015-07-27T08:46:00.000,Violations,"[0, 0]",Point,VAL,7,TS,313,B2,,No,HOLBORN ST,Part Two,None,,WARREN ST,,2015
105308,,Monday,No,2015-07-27T00:00:00.000,Assembly or Gathering Violations,"[-71.054237, 42.314976]",Point,Gather,7,BE,249,C11,,No,BELFORT ST,Part Three,None,776730.0,,2940000.0,2015
106556,,Monday,No,2015-07-27T22:28:00.000,Firearm Violations,"[0, 0]",Point,15xx,7,ARREST,337,C11,,No,COLUMBIA RD,Part Two,Firearm,,,,2015
114453,,Monday,No,2015-07-27T12:25:00.000,Firearm Violations,"[0, 0]",Point,15xx,7,IVPER,402,C11,,No,ALBAN ST,Part Two,Knife/Cutting Instrument,,ASHMONT ST,,2015
235829,,Monday,No,2015-07-27T00:00:00.000,Violations,"[-71.10368, 42.334503]",Point,VAL,7,TS,602,B2,,No,HUNTINGTON AVE,Part Two,None,763324.0,,2950000.0,2015
