,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
6819,,Saturday,No,2015-08-01T00:00:00.000,Towed,"[-71.151223, 42.339185]",Point,Towed,8,IVMV,788,D14,,No,STRATHMORE RD,Part Three,None,750462.0,,2950000.0,2015
57536,,Saturday,No,2015-08-01T00:00:00.000,Towed,"[-71.070035, 42.359153]",Point,Towed,8,IVMV,66,A1,,No,W CEDAR ST,Part Three,None,772376.0,,2960000.0,2015
94341,,Saturday,No,2015-08-01T00:00:00.000,Towed,"[-71.080974, 42.339983]",Point,Towed,8,IVMV,155,D4,,No,MASSACHUSETTS AVE,Part Three,None,769454.0,,2950000.0,2015
128959,,Saturday,No,2015-08-01T00:00:00.000,Towed,"[-71.035293, 42.332714]",Point,Towed,8,IVMV,230,C6,,No,L ST,Part Three,None,781818.0,,2950000.0,2015
131951,,Saturday,No,2015-08-01T00:00:00.000,Towed,"[-71.139955, 42.349668]",Point,Towed,8,IVMV,783,D14,,No,GORDON ST,Part Three,None,753493.0,,2950000.0,2015
151588,,Saturday,No,2015-08-01T00:00:00.000,Towed,"[-71.153881, 42.340373]",Point,Towed,8,IVMV,774,D14,,No,LOTHIAN RD,Part Three,None,749742.0,,2950000.0,2015
181048,,Saturday,No,2015-08-01T00:00:00.000,Towed,"[-71.116351, 42.286434]",Point,Towed,8,IVMV,504,E18,,No,NEPONSET AVE,Part Three,None,759977.0,,2930000.0,2015
186037,,Saturday,No,2015-08-01T00:00:00.000,Towed,"[-71.097193, 42.343266]",Point,Towed,8,IVMV,625,D4,,No,JERSEY ST,Part Three,None,765063.0,,2950000.0,2015
249122,,Saturday,No,2015-08-01T00:00:00.000,Towed,"[-71.057934, 42.317303]",Point,Towed,8,IVMV,244,C11,,No,TAFT ST,Part Three,None,775726.0,,2940000.0,2015
249123,,Saturday,No,2015-08-01T00:00:00.000,Towed,"[-71.057934, 42.317303]",Point,Towed,8,IVMV,244,C11,,No,TAFT ST,Part Three,None,775726.0,,2940000.0,2015
