,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
14138,,Sunday,No,2015-08-02T20:00:00.000,Simple Assault,"[0, 0]",Point,08xx,8,AB,173,A1,,No,ATLANTIC AVE,Part Two,Other,,SUMMER ST,,2015
25820,,Sunday,No,2015-08-02T00:00:00.000,Simple Assault,"[-71.063508, 42.30599]",Point,08xx,8,AB,346,C11,,No,PERCIVAL ST,Part Two,Personal Weapon (hand  foot  etc.),774239.0,,2940000.0,2015
30982,,Sunday,No,2015-08-02T02:25:00.000,Simple Assault,"[0, 0]",Point,08xx,8,FIGHT,624,D4,,No,BROOKLINE AVE,Part Two,Other,,LANSDOWNE ST,,2015
48313,,Sunday,No,2015-08-02T00:00:00.000,Simple Assault,"[-71.086878, 42.327036]",Point,08xx,8,AB,294,B2,,No,SAINT JAMES ST,Part Two,Personal Weapon (hand  foot  etc.),767880.0,,2940000.0,2015
60126,,Sunday,No,2015-08-02T00:00:00.000,Simple Assault,"[-71.093673, 42.268202]",Point,08xx,8,VIORDR,426,B3,,No,BLUE HILL AVE,Part Two,Personal Weapon (hand  foot  etc.),766145.0,,2920000.0,2015
90753,,Sunday,No,2015-08-02T00:00:00.000,Simple Assault,"[-71.060162, 42.359884]",Point,08xx,8,ARREST,73,A1,,No,CENTER PLZ,Part Two,Personal Weapon (hand  foot  etc.),775043.0,,2960000.0,2015
133194,,Sunday,No,2015-08-02T00:00:00.000,Simple Assault,"[-71.036189, 42.347785]",Point,08xx,8,AB,207,C6,,No,NORTHERN AVE,Part Two,Personal Weapon (hand  foot  etc.),781546.0,,2950000.0,2015
134211,,Sunday,No,2015-08-02T00:00:00.000,Simple Assault,"[-71.091924, 42.319171]",Point,08xx,8,DVIP,305,B2,,No,TOWNSEND ST,Part Two,None,766530.0,,2940000.0,2015
139999,,Sunday,No,2015-08-02T00:00:00.000,Simple Assault,"[-71.054155, 42.351967]",Point,08xx,8,PKNIFE,173,A1,,No,SUMMER ST,Part Two,Personal Weapon (hand  foot  etc.),776682.0,,2950000.0,2015
142028,,Sunday,No,2015-08-02T00:00:00.000,Simple Assault,"[-71.01688, 42.382342]",Point,08xx,8,ARREST,14,A7,,No,HORACE ST,Part Two,Personal Weapon (hand  foot  etc.),786694.0,,2960000.0,2015
164297,,Sunday,No,2015-08-02T02:26:00.000,Simple Assault,"[0, 0]",Point,08xx,8,AB,114,A1,,No,ATLANTIC AVE,Part Two,None,,CONGRESS ST,,2015
168870,,Sunday,No,2015-08-02T00:00:00.000,Simple Assault,"[-71.131737, 42.250405]",Point,08xx,8,AB,540,E18,,No,HILLIS RD,Part Two,Other,755870.0,,2920000.0,2015
216306,,Sunday,No,2015-08-02T00:00:00.000,Simple Assault,"[-71.085306, 42.32952]",Point,08xx,8,FIGHT,288,B2,,No,ROXBURY ST,Part Two,None,768301.0,,2950000.0,2015
238971,,Sunday,No,2015-08-02T20:41:00.000,Simple Assault,"[0, 0]",Point,08xx,8,FIGHT,398,C11,,No,TALBOT AVE,Part Two,Blunt Object,,WASHINGTON ST,,2015
247591,,Sunday,No,2015-08-02T00:00:00.000,Simple Assault,"[-71.068181, 42.380263]",Point,08xx,8,AB,53,A15,,No,MEAD ST,Part Two,None,772838.0,,2960000.0,2015
