,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
12666,,Monday,No,2015-08-03T00:00:00.000,Investigate Property,"[-71.028577, 42.379504]",Point,InvProp,8,LANTEN,17,A7,,No,SARATOGA ST,Part Three,None,783540.0,,2960000.0,2015
13873,,Monday,No,2015-08-03T00:00:00.000,Investigate Property,"[-71.077639, 42.353146]",Point,InvProp,8,REQP,132,D4,,No,MARLBOROUGH ST,Part Three,None,770331.0,,2950000.0,2015
36186,,Monday,No,2015-08-03T00:00:00.000,Investigate Property,"[-71.104294, 42.309719]",Point,InvProp,8,IVPER,574,E13,,No,WASHINGTON ST,Part Three,None,763200.0,,2940000.0,2015
112940,,Monday,No,2015-08-03T00:00:00.000,Investigate Property,"[-71.059258, 42.289918]",Point,InvProp,8,VAND,366,C11,,No,FLORIDA ST,Part Three,None,775419.0,,2930000.0,2015
117515,,Monday,No,2015-08-03T00:00:00.000,Investigate Property,"[-71.044529, 42.352238]",Point,InvProp,8,PROP,206,C6,,No,NORTHERN AVE,Part Three,None,779283.0,,2950000.0,2015
135919,,Monday,No,2015-08-03T00:00:00.000,Investigate Property,"[-71.06878, 42.302448]",Point,InvProp,8,BE,342,C11,,No,HOLIDAY ST,Part Three,None,772820.0,,2940000.0,2015
142013,,Monday,No,2015-08-03T00:00:00.000,Investigate Property,"[-71.076267, 42.329814]",Point,InvProp,8,ALARM,268,B2,,No,KEEGAN ST,Part Three,None,770745.0,,2950000.0,2015
168530,,Monday,No,2015-08-03T00:00:00.000,Investigate Property,"[-71.072183, 42.304815]",Point,InvProp,8,ALARM,337,C11,,No,EVERTON ST,Part Three,None,771895.0,,2940000.0,2015
176398,,Monday,No,2015-08-03T00:00:00.000,Investigate Property,"[-71.110143, 42.315942]",Point,InvProp,8,SHOTS,639,E13,,No,ENFIELD ST,Part Three,None,761608.0,,2940000.0,2015
180459,,Monday,No,2015-08-03T00:00:00.000,Investigate Property,"[-71.081504, 42.29919]",Point,InvProp,8,BE,445,B3,,No,GLENWAY ST,Part Three,None,769383.0,,2930000.0,2015
181256,,Monday,No,2015-08-03T00:00:00.000,Investigate Property,"[-71.15823, 42.280347]",Point,InvProp,8,IVPREM,703,E5,,No,CENTRE ST,Part Three,None,748654.0,,2930000.0,2015
