,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
45129,,Friday,No,2015-08-07T00:00:00.000,Residential Burglary,"[-71.093141, 42.278918]",Point,05RB,8,BE,427,B3,,No,BLUE HILL AVE,Part One,None,766270.0,,2930000.0,2015
50519,,Friday,No,2015-08-07T00:00:00.000,Residential Burglary,"[-71.069194, 42.280013]",Point,05RB,8,BE,403,C11,,No,OWENCROFT RD,Part One,None,772749.0,,2930000.0,2015
109390,,Friday,No,2015-08-07T00:00:00.000,Residential Burglary,"[-71.159529, 42.340474]",Point,05RB,8,BE,750,D14,,No,FOSTER ST,Part One,None,748215.0,,2950000.0,2015
110909,,Friday,No,2015-08-07T00:00:00.000,Residential Burglary,"[-71.095893, 42.343144]",Point,05RB,8,BE,625,D4,,No,QUEENSBERRY ST,Part One,None,765415.0,,2950000.0,2015
114025,,Friday,No,2015-08-07T00:00:00.000,Residential Burglary,"[-71.084577, 42.28539]",Point,05RB,8,BE,432,B3,,No,MASCOT ST,Part One,None,768576.0,,2930000.0,2015
124430,,Friday,No,2015-08-07T00:00:00.000,Residential Burglary,"[-71.101181, 42.266156]",Point,05RB,8,ALARM,485,E18,,No,HOLLINGSWORTH ST,Part One,None,764116.0,,2920000.0,2015
152643,,Friday,No,2015-08-07T00:00:00.000,Residential Burglary,"[-71.072582, 42.279107]",Point,05RB,8,BE,415,B3,,No,NEVADA ST,Part One,None,771834.0,,2930000.0,2015
175743,,Friday,No,2015-08-07T00:00:00.000,Residential Burglary,"[-71.065066, 42.297988]",Point,05RB,8,ALARM,358,C11,,No,VINSON ST,Part One,None,773832.0,,2930000.0,2015
178917,,Friday,No,2015-08-07T00:00:00.000,Residential Burglary,"[-71.124373, 42.36098]",Point,05RB,8,BE,814,D14,,No,HOPEDALE ST,Part One,None,757687.0,,2960000.0,2015
210766,,Friday,No,2015-08-07T00:00:00.000,Residential Burglary,"[-71.138424, 42.345912]",Point,05RB,8,BE,792,D14,,No,VINAL ST,Part One,None,753913.0,,2950000.0,2015
228379,,Friday,No,2015-08-07T00:00:00.000,Residential Burglary,"[-71.070002, 42.279633]",Point,05RB,8,BE,415,C11,,No,WASHINGTON ST,Part One,None,772531.0,,2930000.0,2015
258348,,Friday,No,2015-08-07T00:00:00.000,Residential Burglary,"[-71.071143, 42.279058]",Point,05RB,8,BE,415,B3,,No,FENDALE AVE,Part One,None,772223.0,,2930000.0,2015
