,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
8973,,Sunday,No,2015-08-09T00:00:00.000,Larceny,"[-71.132593, 42.354865]",Point,06xx,8,,802,D14,,No,HARVARD AVE,Part One,None,755475.0,,2950000.0,2015
30302,,Sunday,No,2015-08-09T00:00:00.000,Larceny,"[-71.143441, 42.351468]",Point,06xx,8,,783,D14,,No,CAMBRIDGE ST,Part One,None,752548.0,,2950000.0,2015
60318,,Sunday,No,2015-08-09T00:00:00.000,Larceny,"[-71.079255, 42.347499]",Point,06xx,8,ARREST,143,D4,,No,HUNTINGTON AVE,Part One,None,769905.0,,2950000.0,2015
80419,,Sunday,No,2015-08-09T00:00:00.000,Larceny,"[-71.056795, 42.321374]",Point,06xx,8,,235,C6,,No,DORCHESTER AVE,Part One,None,776026.0,,2940000.0,2015
80708,,Sunday,No,2015-08-09T00:00:00.000,Larceny From Motor Vehicle,"[-71.054823, 42.36068]",Point,06MV,8,BE,94,A1,,No,CLINTON ST,Part One,None,776484.0,,2960000.0,2015
82934,,Sunday,No,2015-08-09T00:00:00.000,Larceny,"[-71.080148, 42.349325]",Point,06xx,8,,143,D4,,No,BOYLSTON ST,Part One,None,769660.0,,2950000.0,2015
109050,,Sunday,No,2015-08-09T00:00:00.000,Larceny,"[-71.081817, 42.333302]",Point,06xx,8,,276,B2,,No,WASHINGTON ST,Part One,None,769238.0,,2950000.0,2015
122598,,Sunday,No,2015-08-09T00:00:00.000,Larceny,"[-71.039233, 42.379965]",Point,06xx,8,,24,A7,,No,MERIDIAN ST,Part One,None,780660.0,,2960000.0,2015
127497,,Sunday,No,2015-08-09T00:00:00.000,Larceny,"[-71.069728, 42.322075]",Point,06xx,8,,182,B2,,No,LONGMEADOW ST,Part One,None,772527.0,,2940000.0,2015
142486,,Sunday,No,2015-08-09T00:00:00.000,Larceny,"[-71.083541, 42.307821]",Point,06xx,8,,330,B2,,No,BLUE HILL AVE,Part One,None,768817.0,,2940000.0,2015
153695,,Sunday,No,2015-08-09T00:00:00.000,Larceny,"[-71.063217, 42.3281]",Point,06xx,8,,186,C6,,No,ALLSTATE RD,Part One,None,774277.0,,2940000.0,2015
161482,,Sunday,No,2015-08-09T00:00:00.000,Larceny,"[-71.074364, 42.33556]",Point,06xx,8,,171,D4,,No,HARRISON AVE,Part One,None,771249.0,,2950000.0,2015
194662,,Sunday,No,2015-08-09T00:00:00.000,Larceny,"[-71.06583, 42.317355]",Point,06xx,8,,239,B2,,No,DUDLEY ST,Part One,None,773590.0,,2940000.0,2015
198469,,Sunday,No,2015-08-09T00:00:00.000,Larceny,"[-71.088331, 42.342953]",Point,06xx,8,,619,D4,,No,SYMPHONY RD,Part One,None,767459.0,,2950000.0,2015
207653,,Sunday,No,2015-08-09T00:00:00.000,Larceny,"[-71.080995, 42.345856]",Point,06xx,8,I00040,146,D4,,No,HUNTINGTON AVE,Part One,None,769437.0,,2950000.0,2015
210184,,Sunday,No,2015-08-09T00:00:00.000,Larceny,"[-71.051604, 42.339304]",Point,06xx,8,,201,C6,,No,W BROADWAY,Part One,None,777395.0,,2950000.0,2015
219507,,Sunday,No,2015-08-09T00:00:00.000,Larceny,"[-71.075522, 42.307824]",Point,06xx,8,BE,337,C11,,No,COLUMBIA RD,Part One,None,770986.0,,2940000.0,2015
